clinical_status,compound_id,indication_id,max_phase,source_doc_id
preclinical,CHEMBL1009,mesh_d012148,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d020521,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d008268,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d002659,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d010146,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d005879,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d007024,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d014029,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d001037,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d000550,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d001930,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d013313,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d001416,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d000417,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d003930,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d059350,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d000690,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d001249,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d012559,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d010300,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d017204,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d016115,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d012174,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d019970,0,chembl:CHEMBL1009
preclinical,CHEMBL1009,mesh_d013119,0,chembl:CHEMBL1009
preclinical,CHEMBL101,mesh_d012216,0,chembl:CHEMBL101
preclinical,CHEMBL101,mesh_d063806,0,chembl:CHEMBL101
preclinical,CHEMBL101,mesh_d018771,0,chembl:CHEMBL101
preclinical,CHEMBL1014,mesh_d006973,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d003920,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d010146,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d020521,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d002318,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d006333,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d011507,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d000787,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d050197,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d012078,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d006978,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d006937,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d001943,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d003327,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d009203,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d000075222,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d003922,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d003924,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d045169,0,chembl:CHEMBL1014
preclinical,CHEMBL1014,mesh_d001930,0,chembl:CHEMBL1014
preclinical,CHEMBL1017,mesh_d006973,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d006331,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d015658,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d002318,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d003928,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d020181,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d007690,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d000419,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d052439,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d003920,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d009203,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d020521,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d009437,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d000075222,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d000544,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d003924,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d045169,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d007674,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d064129,0,chembl:CHEMBL1017
preclinical,CHEMBL1017,mesh_d007676,0,chembl:CHEMBL1017
preclinical,CHEMBL1021,mesh_d005128,0,chembl:CHEMBL1021
preclinical,CHEMBL1021,mesh_d007249,0,chembl:CHEMBL1021
preclinical,CHEMBL1021,mesh_d015877,0,chembl:CHEMBL1021
preclinical,CHEMBL1021,mesh_d008269,0,chembl:CHEMBL1021
preclinical,CHEMBL1021,mesh_d002386,0,chembl:CHEMBL1021
preclinical,CHEMBL1021,mesh_d010149,0,chembl:CHEMBL1021
preclinical,CHEMBL1021,mesh_d013508,0,chembl:CHEMBL1021
preclinical,CHEMBL1025,mesh_d005901,0,chembl:CHEMBL1025
preclinical,CHEMBL1026,mesh_d058186,0,chembl:CHEMBL1026
preclinical,CHEMBL1026,mesh_d006973,0,chembl:CHEMBL1026
preclinical,CHEMBL1034,mesh_d055623,0,chembl:CHEMBL1034
preclinical,CHEMBL1034,mesh_d009135,0,chembl:CHEMBL1034
preclinical,CHEMBL1034,mesh_d010146,0,chembl:CHEMBL1034
preclinical,CHEMBL1034,mesh_d020370,0,chembl:CHEMBL1034
preclinical,CHEMBL1034,mesh_d001172,0,chembl:CHEMBL1034
preclinical,CHEMBL3545010,mesh_d010300,0,chembl:CHEMBL3545010
preclinical,CHEMBL5283463,mesh_d009369,0,chembl:CHEMBL5283463
preclinical,CHEMBL5283463,mesh_d001943,0,chembl:CHEMBL5283463
preclinical,CHEMBL52885,mesh_d010190,0,chembl:CHEMBL52885
preclinical,CHEMBL1034,mesh_d007249,0,chembl:CHEMBL1034
preclinical,CHEMBL1034,mesh_d006073,0,chembl:CHEMBL1034
preclinical,CHEMBL1034,mesh_d013471,0,chembl:CHEMBL1034
