compound_id,measurement_type,primary_target,selectivity_ratio,source_doc_id,target_id
CHEMBL10,IC50,OPRM1,1.0,,OPRM1
CHEMBL10,IC50,OPRM1,1.1379310344827587,,RAF1
CHEMBL10,Kd,OPRM1,4.482758620689655,,MAP2
CHEMBL10,Kd,OPRM1,15.172413793103448,,MAP3K20
CHEMBL10,Kd,OPRM1,16.551724137931036,,CDK2
CHEMBL10,IC50,OPRM1,20.689655172413794,,GCH1
CHEMBL10,Kd,OPRM1,33.10344827586207,,MAP2K2
CHEMBL101253,IC50,PDGFRB,1.0,,PDGFRB
CHEMBL101253,Kd,PDGFRB,27.77777777777778,,SLC6A6
CHEMBL101253,Kd,PDGFRB,81.48148148148148,,MAP3K20
CHEMBL101253,Kd,PDGFRB,83.33333333333333,,RIPK2
CHEMBL101683,IC50,PDGFRB,1.0,,PDGFRB
CHEMBL101683,IC50,PDGFRB,1.3333333333333333,,BRAF
CHEMBL102301,IC50,KIT,1.0,,KIT
CHEMBL102301,IC50,KIT,2.3333333333333335,,PDGFRA
CHEMBL102301,IC50,KIT,2.4444444444444446,,BRAF
CHEMBL102346,IC50,BRAF,1.0,,BRAF
CHEMBL102346,IC50,BRAF,1.0,,PDGFRA
CHEMBL102346,IC50,BRAF,4.6,,FLT4
CHEMBL103667,Kd,GSK3B,1.0,,GSK3B
CHEMBL103667,Kd,GSK3B,1.0526315789473684,,SLC6A6
CHEMBL103667,Kd,GSK3B,1.1578947368421053,,RIPK2
CHEMBL103667,Ki,GSK3B,3.320842105263158,,ABL1
CHEMBL103667,Kd,GSK3B,4.526315789473684,,MAP3K20
CHEMBL103667,Kd,GSK3B,6.315789473684211,,PDGFRA
CHEMBL103667,Kd,GSK3B,6.842105263157895,,FLT4
CHEMBL103667,IC50,GSK3B,7.368421052631579,,RAF1
CHEMBL103667,Kd,GSK3B,10.0,,HAVCR2
CHEMBL103667,Ki,GSK3B,10.501368421052632,,RET
CHEMBL103667,IC50,GSK3B,36.8421052631579,,FGFR4
CHEMBL104067,IC50,FLT4,1.0,,FLT4
CHEMBL104067,IC50,FLT4,1.0,,BRAF
CHEMBL104067,IC50,FLT4,1.8,,PDGFRA
CHEMBL104264,IC50,AKT2,1.0,,AKT2
CHEMBL104264,IC50,AKT2,11.5,,AKT1
CHEMBL104264,IC50,AKT2,11.5,,ERBB2
CHEMBL104673,Ki,DRD2,1.0,,DRD2
CHEMBL104673,Ki,DRD2,3651.5151515151515,,SLC6A4
CHEMBL106084,Ki,ABCB1,1.0,,ABCB1
CHEMBL106084,Ki,ABCB1,5.066062176165803,,OPRK1
CHEMBL106084,Ki,ABCB1,9.817357512953368,,OPRD1
CHEMBL106190,Ki,ABCB1,1.0,,ABCB1
CHEMBL106190,Ki,ABCB1,6.0661764705882355,,OPRK1
CHEMBL106359,Ki,ABCB1,1.0,,ABCB1
CHEMBL106359,Ki,ABCB1,3.1687732342007435,,OPRK1
CHEMBL106939,Ki,DRD2,1.0,,DRD2
CHEMBL106939,Ki,DRD2,1227.2727272727273,,SLC6A4
CHEMBL106966,IC50,KIT,1.0,,KIT
CHEMBL106966,IC50,KIT,1.0666666666666667,,BRAF
CHEMBL106966,IC50,KIT,1.711111111111111,,PDGFRA
CHEMBL107077,Ki,DRD2,1.0,,DRD2
CHEMBL107077,Ki,DRD2,1053.968253968254,,SLC6A4
CHEMBL107288,Ki,ABCB1,1.0,,ABCB1
CHEMBL107288,Ki,ABCB1,4.94496644295302,,OPRK1
CHEMBL107288,Ki,ABCB1,11.837583892617449,,OPRD1
CHEMBL107599,IC50,BRAF,1.0,,BRAF
CHEMBL107599,IC50,BRAF,12.5,,FLT4
CHEMBL1081312,Ki,MAOA,1.0,,MAOA
CHEMBL1081312,Ki,MAOA,1.9950871632329634,,TNFRSF14
CHEMBL1081312,Ki,MAOA,1.9950871632329634,,PTAFR
CHEMBL1082152,Kd,CHEK2,1.0,,CHEK2
CHEMBL1082152,Kd,CHEK2,4.712643678160919,,GRM1
CHEMBL1083086,Ki,CA2,1.0,,CA2
CHEMBL1083086,Ki,CA2,1.5,,CHUK
CHEMBL1083439,Ki,CHUK,1.0,,CHUK
CHEMBL1083439,Ki,CHUK,1.4102564102564104,,CA2
CHEMBL108417,Ki,ABCB1,1.0,,ABCB1
CHEMBL108417,Ki,ABCB1,3.85969868173258,,OPRK1
CHEMBL1084546,Ki,CD274,1.0,,CD274
CHEMBL1084546,Ki,CD274,1.0,,CHRNA7
CHEMBL1084546,Ki,CD274,1.2589084348218313,,TNFRSF14
CHEMBL1084546,Ki,CD274,1.2589084348218313,,PTAFR
CHEMBL1084546,Ki,CD274,12.589034230441538,,MAP2K2
CHEMBL108527,Ki,DRD1,1.0,,DRD1
CHEMBL108527,Ki,DRD1,5.153374233128834,,HTR2A
CHEMBL108637,Ki,DRD1,1.0,,DRD1
CHEMBL108637,Ki,DRD1,1.215022091310751,,HTR2A
CHEMBL1086580,IC50,PIK3CA,1.0,,PIK3CA
CHEMBL1086580,IC50,PIK3CA,1.0,,HTR3A
CHEMBL1086580,Kd,PIK3CA,2.0,,CPT2
CHEMBL1086675,IC50,PTAFR,1.0,,PTAFR
CHEMBL1086675,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1086676,IC50,PTAFR,1.0,,PTAFR
CHEMBL1086676,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1086932,IC50,PTAFR,1.0,,PTAFR
CHEMBL1086932,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1087984,IC50,PTAFR,1.0,,PTAFR
CHEMBL1087984,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL108893,Ki,ABCB1,1.0,,ABCB1
CHEMBL108893,Ki,ABCB1,114.4,,OPRK1
CHEMBL108893,Ki,ABCB1,268.26666666666665,,OPRD1
CHEMBL108900,Ki,ABCB1,1.0,,ABCB1
CHEMBL108900,Ki,ABCB1,86.10204081632654,,OPRK1
CHEMBL108904,Ki,ABCB1,1.0,,ABCB1
CHEMBL108904,Ki,ABCB1,3.9934210526315788,,OPRK1
CHEMBL108904,Ki,ABCB1,9.467105263157896,,OPRD1
CHEMBL1089125,Ki,HTR3A,1.0,,HTR3A
CHEMBL1089125,Ki,HTR3A,1.0,,PIK3CA
CHEMBL1089474,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1089474,Ki,PIK3CA,1.0,,HTR3A
CHEMBL108995,Ki,ABCB1,1.0,,ABCB1
CHEMBL108995,Ki,ABCB1,88.02941176470588,,OPRK1
CHEMBL108995,Ki,ABCB1,175.23529411764707,,OPRD1
CHEMBL1090136,Ki,HTR3A,1.0,,HTR3A
CHEMBL1090136,Ki,HTR3A,1.0,,PIK3CA
CHEMBL1090467,Ki,HTR3A,1.0,,HTR3A
CHEMBL1090467,Ki,HTR3A,1.0,,PIK3CA
CHEMBL1090482,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1090482,Ki,PIK3CA,1.0,,HTR3A
CHEMBL18,Ki,XDH,1.0,,XDH
CHEMBL1090483,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1090483,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1090582,Ki,HTR3A,1.0,,HTR3A
CHEMBL1090582,Ki,HTR3A,1.0,,PIK3CA
CHEMBL1091644,Kd,LATS1,1.0,,LATS1
CHEMBL1091644,Kd,LATS1,1.0,,TREM2
CHEMBL1092,IC50,ACHE,1.0,,ACHE
CHEMBL1092,IC50,ACHE,2.7761194029850746,,CHRM2
CHEMBL1092,IC50,ACHE,3.925373134328358,,CHRM3
CHEMBL1092223,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1092223,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1092691,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1092691,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1092737,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1092737,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1093012,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1093012,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1093309,Ki,HTR3A,1.0,,HTR3A
CHEMBL1093309,Ki,HTR3A,1.0,,PIK3CA
CHEMBL1093844,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1093844,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1093900,Ki,PIK3CA,1.0,,PIK3CA
CHEMBL1093900,Ki,PIK3CA,1.0,,HTR3A
CHEMBL1094636,IC50,PIK3CA,1.0,,PIK3CA
CHEMBL1094636,IC50,PIK3CA,271.42857142857144,,CPT2
CHEMBL1094718,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1094718,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL1095034,IC50,PTAFR,1.0,,PTAFR
CHEMBL1095034,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1095035,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1095035,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL1095036,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1095036,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL1095356,IC50,PTAFR,1.0,,PTAFR
CHEMBL1095356,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1095357,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1095357,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL1095358,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1095358,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL1095359,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1095359,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL1095360,IC50,PTAFR,1.0,,PTAFR
CHEMBL1095360,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1095361,IC50,PTAFR,1.0,,PTAFR
CHEMBL1095361,IC50,PTAFR,1.0,,TNFRSF14
CHEMBL1098158,IC50,TNFRSF14,1.0,,TNFRSF14
CHEMBL1098158,IC50,TNFRSF14,1.0,,PTAFR
CHEMBL11,Ki,SLC6A4,1.0,,SLC6A4
CHEMBL11,IC50,SLC6A4,212.5,,HRH1
CHEMBL110126,Ki,ABCB1,1.0,,ABCB1
CHEMBL110126,Ki,ABCB1,7.0212765957446805,,OPRK1
CHEMBL110126,Ki,ABCB1,19.74468085106383,,OPRD1
CHEMBL110138,Ki,ABCB1,1.0,,ABCB1
CHEMBL110138,Ki,ABCB1,1.6220264317180617,,OPRK1
CHEMBL110138,Ki,ABCB1,4.414977973568282,,OPRD1
CHEMBL110379,Ki,ABCB1,1.0,,ABCB1
CHEMBL110379,Ki,ABCB1,82.07692307692308,,OPRK1
CHEMBL110379,Ki,ABCB1,335.0,,OPRD1
CHEMBL110933,Ki,ABCB1,1.0,,ABCB1
CHEMBL110933,Ki,ABCB1,8.005449591280653,,OPRK1
CHEMBL110933,Ki,ABCB1,27.493188010899182,,OPRD1
CHEMBL115011,IC50,BCL2L1,1.0,,BCL2L1
CHEMBL115011,IC50,BCL2L1,1.0,,ATXN2
CHEMBL115011,IC50,BCL2L1,3.6363636363636362,,LCK
CHEMBL1162028,IC50,KCNA5,1.0,,KCNA5
CHEMBL1162028,IC50,KCNA5,1.0,,NTRK2
