activity_type,assay_type,compound_id,extraction_confidence,mechanism_type,pchembl_value,source,source_doc_id,source_doc_type,target_id,unit,value
IC50,,CHEMBL68920,,,,,,,EGFR,nM,41.0
IC50,,CHEMBL69960,,,,,,,EGFR,nM,40.0
IC50,,CHEMBL137635,,,,,,,EGFR,nM,9300.0
IC50,,CHEMBL443268,,,,,,,EGFR,nM,5310.0
IC50,,CHEMBL76589,,,,,,,EGFR,nM,125.0
IC50,,CHEMBL304271,,,,,,,EGFR,nM,0.45
Ki,,CHEMBL296407,,,,,,,EGFR,nM,3500.0
Ki,,CHEMBL310798,,,,,,,EGFR,nM,1000.0
IC50,,CHEMBL135592,,,,,,,EGFR,nM,8000.0
IC50,,CHEMBL136491,,,,,,,EGFR,nM,14.0
IC50,,CHEMBL336113,,,,,,,EGFR,nM,1000.0
IC50,,CHEMBL133024,,,,,,,EGFR,nM,100.0
IC50,,CHEMBL138125,,,,,,,EGFR,nM,238.0
IC50,,CHEMBL137364,,,,,,,EGFR,nM,64.0
IC50,,CHEMBL302552,,,,,,,EGFR,nM,22.0
Ki,,CHEMBL309598,,,,,,,EGFR,nM,4500.0
IC50,,CHEMBL67057,,,,,,,EGFR,nM,4.5
IC50,,CHEMBL332096,,,,,,,EGFR,nM,508.0
IC50,,CHEMBL432903,,,,,,,EGFR,nM,200.0
IC50,,CHEMBL69964,,,,,,,EGFR,nM,210.0
IC50,,CHEMBL65848,,,,,,,EGFR,nM,1410.0
IC50,,CHEMBL69629,,,,,,,EGFR,nM,6.5
IC50,,CHEMBL136492,,,,,,,EGFR,nM,8400.0
IC50,,CHEMBL66570,,,,,,,EGFR,nM,13.0
Ki,,CHEMBL76905,,,,,,,EGFR,nM,10000.0
IC50,,CHEMBL305194,,,,,,,EGFR,nM,29.0
Ki,,CHEMBL80155,,,,,,,EGFR,nM,2200.0
IC50,,CHEMBL343352,,,,,,,EGFR,nM,200.0
IC50,,CHEMBL52765,,,,,,,EGFR,nM,0.78
IC50,,CHEMBL308645,,,,,,,EGFR,nM,4.7
IC50,,CHEMBL67003,,,,,,,EGFR,nM,1.8
IC50,,CHEMBL134312,,,,,,,EGFR,nM,11.0
IC50,,CHEMBL80745,,,,,,,EGFR,nM,1200.0
IC50,,CHEMBL305246,,,,,,,EGFR,nM,2.8
IC50,,CHEMBL69966,,,,,,,EGFR,nM,18.0
IC50,,CHEMBL47940,,,,,,,EGFR,nM,3200.0
IC50,,CHEMBL69358,,,,,,,EGFR,nM,1.2
IC50,,CHEMBL137189,,,,,,,EGFR,nM,200.0
IC50,,CHEMBL137617,,,,,,,EGFR,nM,39.0
IC50,,CHEMBL137027,,,,,,,EGFR,nM,482.0
IC50,,CHEMBL78257,,,,,,,EGFR,nM,800.0
IC50,,CHEMBL309334,,,,,,,EGFR,nM,2500.0
IC50,,CHEMBL304971,,,,,,,EGFR,nM,410.0
IC50,,CHEMBL69071,,,,,,,EGFR,nM,5.9
IC50,,CHEMBL137534,,,,,,,EGFR,nM,38.0
IC50,,CHEMBL137788,,,,,,,EGFR,nM,335.0
IC50,,CHEMBL424093,,,,,,,EGFR,nM,25.0
Ki,,CHEMBL77030,,,,,,,EGFR,nM,850.0
IC50,,CHEMBL264382,,,,,,,EGFR,nM,1.1
IC50,,CHEMBL305782,,,,,,,EGFR,nM,180.0
IC50,,CHEMBL307152,,,,,,,AKT1,nM,5480.0
IC50,,CHEMBL3216643,,,,,,,AKT1,nM,5.0
IC50,,CHEMBL1204095,,,,,,,AKT1,nM,160.0
IC50,,CHEMBL1202525,,,,,,,AKT1,nM,355.0
IC50,,CHEMBL1202518,,,,,,,AKT1,nM,4.0
IC50,,CHEMBL1202519,,,,,,,AKT1,nM,3000.0
IC50,,CHEMBL260397,,,,,,,AKT1,nM,290.0
IC50,,CHEMBL258844,,,,,,,AKT1,nM,58.0
IC50,,CHEMBL178397,,,,,,,AKT1,nM,760.0
IC50,,CHEMBL359864,,,,,,,AKT1,nM,365.0
IC50,,CHEMBL178349,,,,,,,AKT1,nM,3136.0
IC50,,CHEMBL255212,,,,,,,AKT1,nM,762.0
IC50,,CHEMBL360333,,,,,,,AKT1,nM,1288.0
IC50,,CHEMBL368010,,,,,,,AKT1,nM,865.0
IC50,,CHEMBL181927,,,,,,,AKT1,nM,2874.0
IC50,,CHEMBL369094,,,,,,,AKT1,nM,1471.0
IC50,,CHEMBL361391,,,,,,,AKT1,nM,4397.0
IC50,,CHEMBL425338,,,,,,,AKT1,nM,7407.0
IC50,,CHEMBL270847,,,,,,,AKT1,nM,273.0
IC50,,CHEMBL425155,,,,,,,AKT1,nM,177.0
IC50,,CHEMBL181730,,,,,,,AKT1,nM,239.0
IC50,,CHEMBL367601,,,,,,,AKT1,nM,763.0
IC50,,CHEMBL178872,,,,,,,AKT1,nM,3323.0
IC50,,CHEMBL178445,,,,,,,AKT1,nM,4237.0
IC50,,CHEMBL369532,,,,,,,AKT1,nM,6915.0
IC50,,CHEMBL182101,,,,,,,AKT1,nM,1772.0
IC50,,CHEMBL362455,,,,,,,AKT1,nM,3400.0
IC50,,CHEMBL440560,,,,,,,AKT1,nM,3029.0
IC50,,CHEMBL577792,,,,,,,AKT1,nM,1500.0
IC50,,CHEMBL572629,,,,,,,AKT1,nM,1003.0
IC50,,CHEMBL272292,,,,,,,AKT1,nM,240.0
IC50,,CHEMBL273160,,,,,,,AKT1,nM,166.0
IC50,,CHEMBL271091,,,,,,,AKT1,nM,63.0
IC50,,CHEMBL408151,,,,,,,AKT1,nM,20.0
IC50,,CHEMBL181419,,,,,,,AKT1,nM,1089.0
IC50,,CHEMBL180058,,,,,,,AKT1,nM,55.0
IC50,,CHEMBL180231,,,,,,,AKT1,nM,85.0
Ki,,CHEMBL192519,,,,,,,AKT1,nM,1100.0
Ki,,CHEMBL190313,,,,,,,AKT1,nM,3900.0
IC50,,CHEMBL104264,,,,,,,AKT1,nM,2300.0
IC50,,CHEMBL192161,,,,,,,AKT1,nM,9210.0
IC50,,CHEMBL199996,,,,,,,AKT1,nM,9000.0
IC50,,CHEMBL419932,,,,,,,AKT1,nM,5290.0
IC50,,CHEMBL388978,,,,,,,AKT1,nM,1.5
IC50,,CHEMBL206708,,,,,,,AKT1,nM,3340.0
IC50,,CHEMBL381610,,,,,,,AKT1,nM,147.0
IC50,,CHEMBL203275,,,,,,,AKT1,nM,69.0
IC50,,CHEMBL382914,,,,,,,AKT1,nM,163.0
IC50,,CHEMBL202787,,,,,,,AKT1,nM,176.0
IC50,,CHEMBL381075,,,,,,,AKT1,nM,121.0
IC50,,CHEMBL13462,,,,,,,ALK,nM,4000.0
IC50,,CHEMBL414123,,,,,,,ALK,nM,2900.0
IC50,,CHEMBL413629,,,,,,,ALK,nM,1800.0
IC50,,CHEMBL58478,,,,,,,ALK,nM,1700.0
IC50,,CHEMBL298813,,,,,,,ALK,nM,1600.0
IC50,,CHEMBL293803,,,,,,,ALK,nM,4900.0
IC50,,CHEMBL294692,,,,,,,ALK,nM,1200.0
IC50,,CHEMBL294420,,,,,,,ALK,nM,1200.0
IC50,,CHEMBL299477,,,,,,,ALK,nM,7900.0
IC50,,CHEMBL44,,,,,,,ALK,nM,10000.0
IC50,,CHEMBL60816,,,,,,,ALK,nM,1200.0
IC50,,CHEMBL20867,,,,,,,ALK,nM,20.0
Kd,,CHEMBL941,,,,,,,ALK,nM,2.2
IC50,,CHEMBL21162,,,,,,,ALK,nM,800.0
IC50,,CHEMBL300817,,,,,,,ALK,nM,1500.0
IC50,,CHEMBL277931,,,,,,,ALK,nM,400.0
IC50,,CHEMBL57556,,,,,,,ALK,nM,8000.0
IC50,,CHEMBL20252,,,,,,,ALK,nM,200.0
IC50,,CHEMBL423288,,,,,,,ALK,nM,5800.0
IC50,,CHEMBL418279,,,,,,,ALK,nM,200.0
IC50,,CHEMBL59099,,,,,,,ALK,nM,400.0
IC50,,CHEMBL57443,,,,,,,ALK,nM,600.0
IC50,,CHEMBL56669,,,,,,,ALK,nM,200.0
IC50,,CHEMBL58436,,,,,,,ALK,nM,1000.0
IC50,,CHEMBL59036,,,,,,,ALK,nM,1000.0
IC50,,CHEMBL299707,,,,,,,ALK,nM,1900.0
IC50,,CHEMBL291963,,,,,,,ALK,nM,3300.0
IC50,,CHEMBL292866,,,,,,,ALK,nM,3800.0
IC50,,CHEMBL56671,,,,,,,ALK,nM,5100.0
IC50,,CHEMBL55379,,,,,,,ALK,nM,370.0
IC50,,CHEMBL55742,,,,,,,ALK,nM,2000.0
IC50,,CHEMBL56904,,,,,,,ALK,nM,100.0
IC50,,CHEMBL418270,,,,,,,ALK,nM,150.0
IC50,,CHEMBL293991,,,,,,,ALK,nM,350.0
IC50,,CHEMBL418010,,,,,,,ALK,nM,800.0
IC50,,CHEMBL56359,,,,,,,ALK,nM,300.0
IC50,,CHEMBL20926,,,,,,,ALK,nM,400.0
IC50,,CHEMBL278103,,,,,,,ALK,nM,1500.0
IC50,,CHEMBL57690,,,,,,,ALK,nM,1800.0
IC50,,CHEMBL55592,,,,,,,ALK,nM,500.0
IC50,,CHEMBL57553,,,,,,,ALK,nM,700.0
IC50,,CHEMBL58142,,,,,,,ALK,nM,450.0
IC50,,CHEMBL58580,,,,,,,ALK,nM,1300.0
IC50,,CHEMBL332612,,,,,,,ALK,nM,1180.0
IC50,,CHEMBL332333,,,,,,,ALK,nM,1960.0
IC50,,CHEMBL332882,,,,,,,ALK,nM,3090.0
IC50,,CHEMBL120979,,,,,,,ALK,nM,3400.0
IC50,,CHEMBL153843,,,,,,,ALK,nM,2820.0
IC50,,CHEMBL121796,,,,,,,ALK,nM,6600.0
IC50,,CHEMBL121190,,,,,,,ALK,nM,410.0
IC50,,CHEMBL371694,,,,,,,ROS1,nM,900.0
IC50,,CHEMBL200259,,,,,,,ROS1,nM,1585.0
Kd,,CHEMBL68215,,,,,,,ROS1,nM,316.0
IC50,,CHEMBL200863,,,,,,,ROS1,nM,13.0
Kd,,CHEMBL381447,,,,,,,ROS1,nM,10.0
Kd,,CHEMBL426476,,,,,,,ROS1,nM,24.0
Kd,,CHEMBL200889,,,,,,,ROS1,nM,4.8
Kd,,CHEMBL200320,,,,,,,ROS1,nM,5.3
IC50,,CHEMBL200118,,,,,,,ROS1,nM,33.0
Kd,,CHEMBL371952,,,,,,,ROS1,nM,4.2
IC50,,CHEMBL381250,,,,,,,ROS1,nM,6.0
Kd,,CHEMBL200172,,,,,,,ROS1,nM,2.0
Kd,,CHEMBL373011,,,,,,,ROS1,nM,2.4
Ki,,CHEMBL477989,,,,,,,ROS1,nM,0.16
Kd,,CHEMBL200164,,,,,,,ROS1,nM,17.0
Kd,,CHEMBL372543,,,,,,,ROS1,nM,1.3
Kd,,CHEMBL200431,,,,,,,ROS1,nM,53.0
Kd,,CHEMBL200637,,,,,,,ROS1,nM,11.0
Kd,,CHEMBL200412,,,,,,,ROS1,nM,6.0
Kd,,CHEMBL200942,,,,,,,ROS1,nM,27.0
Kd,,CHEMBL200783,,,,,,,ROS1,nM,5.0
Kd,,CHEMBL435744,,,,,,,ROS1,nM,132.0
Kd,,CHEMBL427196,,,,,,,ROS1,nM,22.0
Kd,,CHEMBL200226,,,,,,,ROS1,nM,71.0
Kd,,CHEMBL304624,,,,,,,ROS1,nM,8.0
Kd,,CHEMBL200258,,,,,,,ROS1,nM,5.7
Kd,,CHEMBL381421,,,,,,,ROS1,nM,87.0
Kd,,CHEMBL370353,,,,,,,ROS1,nM,14.0
IC50,,CHEMBL200114,,,,,,,ROS1,nM,3500.0
IC50,,CHEMBL1336,,,,,,,ROS1,nM,1.0
IC50,,CHEMBL440761,,,,,,,ROS1,nM,8000.0
IC50,,CHEMBL201625,,,,,,,ROS1,nM,4200.0
IC50,,CHEMBL201576,,,,,,,ROS1,nM,3800.0
IC50,,CHEMBL199948,,,,,,,ROS1,nM,950.0
IC50,,CHEMBL199811,,,,,,,ROS1,nM,490.0
IC50,,CHEMBL199281,,,,,,,ROS1,nM,3300.0
IC50,,CHEMBL199833,,,,,,,ROS1,nM,3000.0
IC50,,CHEMBL371958,,,,,,,ROS1,nM,32.0
IC50,,CHEMBL383374,,,,,,,ROS1,nM,2300.0
IC50,,CHEMBL200080,,,,,,,ROS1,nM,8300.0
IC50,,CHEMBL198244,,,,,,,ROS1,nM,790.0
IC50,,CHEMBL201322,,,,,,,ROS1,nM,1400.0
IC50,,CHEMBL203093,,,,,,,ROS1,nM,1300.0
IC50,,CHEMBL425577,,,,,,,ROS1,nM,2700.0
IC50,,CHEMBL199355,,,,,,,ROS1,nM,3800.0
IC50,,CHEMBL373006,,,,,,,ROS1,nM,4000.0
IC50,,CHEMBL425576,,,,,,,ROS1,nM,7900.0
IC50,,CHEMBL378600,,,,,,,ROS1,nM,5200.0
IC50,,CHEMBL201272,,,,,,,ROS1,nM,8800.0
IC50,,CHEMBL248051,,,,,,,ROS1,nM,34.0
IC50,,CHEMBL352308,,,,,,,BRAF,nM,100.0
IC50,,CHEMBL330863,,,,,,,BRAF,nM,21.0
IC50,,CHEMBL126699,,,,,,,BRAF,nM,6.0
IC50,,CHEMBL445636,,,,,,,BRAF,nM,4.0
Kd,,CHEMBL941,,,,,,,BRAF,nM,14.0
IC50,,CHEMBL124035,,,,,,,BRAF,nM,190.0
IC50,,CHEMBL125898,,,,,,,BRAF,nM,60.0
IC50,,CHEMBL107599,,,,,,,BRAF,nM,16.0
IC50,,CHEMBL444064,,,,,,,BRAF,nM,110.0
IC50,,CHEMBL150894,,,,,,,BRAF,nM,57.0
IC50,,CHEMBL101683,,,,,,,BRAF,nM,240.0
IC50,,CHEMBL99743,,,,,,,BRAF,nM,390.0
approved,,CHEMBL101253,,,,,,,BRAF,nM,5.1
IC50,,CHEMBL104067,,,,,,,BRAF,nM,50.0
IC50,,CHEMBL102346,,,,,,,BRAF,nM,50.0
IC50,,CHEMBL323336,,,,,,,BRAF,nM,130.0
IC50,,CHEMBL106966,,,,,,,BRAF,nM,480.0
approved,,CHEMBL535,,,,,,,RET,nM,49.0
IC50,,CHEMBL78303,,,,,,,BRAF,nM,2500.0
IC50,,CHEMBL153843,,,,,,,BRAF,nM,236.0
IC50,,CHEMBL77555,,,,,,,BRAF,nM,2700.0
IC50,,CHEMBL309331,,,,,,,BRAF,nM,1400.0
IC50,,CHEMBL75034,,,,,,,BRAF,nM,3500.0
IC50,,CHEMBL306295,,,,,,,BRAF,nM,7900.0
IC50,,CHEMBL75232,,,,,,,BRAF,nM,620.0
IC50,,CHEMBL75196,,,,,,,BRAF,nM,700.0
IC50,,CHEMBL431006,,,,,,,BRAF,nM,1000.0
Kd,,CHEMBL24828,,,,,,,BRAF,nM,260.0
IC50,,CHEMBL74197,,,,,,,BRAF,nM,2000.0
IC50,,CHEMBL75462,,,,,,,BRAF,nM,3000.0
IC50,,CHEMBL347537,,,,,,,BRAF,nM,105.0
IC50,,CHEMBL553824,,,,,,,BRAF,nM,800.0
IC50,,CHEMBL102301,,,,,,,BRAF,nM,220.0
IC50,,CHEMBL319894,,,,,,,BRAF,nM,360.0
IC50,,CHEMBL178455,,,,,,,BRAF,nM,40.0
IC50,,CHEMBL197592,,,,,,,BRAF,nM,32.0
IC50,,CHEMBL371329,,,,,,,BRAF,nM,9.0
IC50,,CHEMBL366241,,,,,,,BRAF,nM,28.0
IC50,,CHEMBL196363,,,,,,,BRAF,nM,6.0
IC50,,CHEMBL438797,,,,,,,BRAF,nM,68.0
IC50,,CHEMBL198267,,,,,,,BRAF,nM,83.0
IC50,,CHEMBL445394,,,,,,,BRAF,nM,50.0
IC50,,CHEMBL371889,,,,,,,BRAF,nM,19.0
IC50,,CHEMBL365784,,,,,,,BRAF,nM,15.0
IC50,,CHEMBL196747,,,,,,,BRAF,nM,27.0
IC50,,CHEMBL196499,,,,,,,BRAF,nM,33.0
IC50,,CHEMBL194321,,,,,,,BRAF,nM,110.0
IC50,,CHEMBL382517,,,,,,,BRAF,nM,22.0
IC50,,CHEMBL372174,,,,,,,BRAF,nM,29.0
IC50,,CHEMBL419409,,,,,,,MET,nM,1500.0
IC50,,CHEMBL401930,,,,,,,MET,nM,4870.0
IC50,,CHEMBL370808,,,,,,,MET,nM,1500.0
IC50,,CHEMBL386760,,,,,,,MET,nM,2400.0
IC50,,CHEMBL388978,,,,,,,MET,nM,103.0
IC50,,CHEMBL213618,,,,,,,MET,nM,1100.0
IC50,,CHEMBL398610,,,,,,,MET,nM,3700.0
IC50,,CHEMBL246284,,,,,,,MET,nM,6500.0
IC50,,CHEMBL248108,,,,,,,MET,nM,3900.0
IC50,,CHEMBL251796,,,,,,,MET,nM,170.0
IC50,,CHEMBL254895,,,,,,,MET,nM,430.0
IC50,,CHEMBL399710,,,,,,,MET,nM,760.0
IC50,,CHEMBL254086,,,,,,,MET,nM,1.5
IC50,,CHEMBL254085,,,,,,,MET,nM,37.0
IC50,,CHEMBL430027,,,,,,,MET,nM,1000.0
IC50,,CHEMBL429490,,,,,,,MET,nM,150.0
IC50,,CHEMBL253444,,,,,,,MET,nM,440.0
IC50,,CHEMBL253882,,,,,,,MET,nM,900.0
IC50,,CHEMBL253881,,,,,,,MET,nM,45.0
IC50,,CHEMBL400726,,,,,,,MET,nM,180.0
IC50,,CHEMBL428944,,,,,,,MET,nM,190.0
IC50,,CHEMBL253657,,,,,,,MET,nM,440.0
IC50,,CHEMBL253656,,,,,,,MET,nM,990.0
IC50,,CHEMBL252416,,,,,,,MET,nM,860.0
IC50,,CHEMBL252415,,,,,,,MET,nM,410.0
IC50,,CHEMBL252214,,,,,,,MET,nM,1400.0
IC50,,CHEMBL252213,,,,,,,MET,nM,260.0
IC50,,CHEMBL438696,,,,,,,MET,nM,40.0
IC50,,CHEMBL400556,,,,,,,MET,nM,150.0
IC50,,CHEMBL413996,,,,,,,MET,nM,50.0
IC50,,CHEMBL254280,,,,,,,MET,nM,30.0
IC50,,CHEMBL254907,,,,,,,MET,nM,140.0
IC50,,CHEMBL401344,,,,,,,MET,nM,130.0
IC50,,CHEMBL399698,,,,,,,MET,nM,40.0
IC50,,CHEMBL253223,,,,,,,MET,nM,780.0
