adme_flags,chembl_id,compound_type,created_at,first_approval,hba,hbd,id,inchikey,indication_class,logp,max_phase,modality,molecular_weight,molecule_type,name,pchembl_value,pref_name,psa,ro5_violations,selectivity_profile,series_id,smiles,synonyms,trade_names,updated_at,withdrawn_flag
,CHEMBL494480,Small molecule,2026-04-21 13:16:14.844789+00:00,,,,CHEMBL494480,OPIKUXLJQFYMSC-UHFFFAOYSA-N,,,2,,,,ADL-5859,,ADL-5859,,,,,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,"[""Adl-5859""]",[],2026-04-21 13:16:14.844789+00:00,False
,CHEMBL1201047,Small molecule,2026-04-21 13:16:24.605730+00:00,1982,,,CHEMBL1201047,UDUQHZSAAWGSPJ-UHFFFAOYSA-N,,,4,small_molecule,,,ANILERIDINE HYDROCHLORIDE,,ANILERIDINE HYDROCHLORIDE,,,,,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1.Cl,"[""Aldine"",""Anileridine dihydrochloride"",""Anileridine dihydrochloride"",""Anileridine hcl"",""Anileridine hydrochloride"",""Anileridine hydrochloride cii"",""Apodol"",""Leritine"",""Leritine dihydrochloride""]","[""Leritine""]",2026-04-21 13:16:24.605730+00:00,False
,CHEMBL3989680,Small molecule,2026-04-21 13:16:09.646035+00:00,,,,CHEMBL3989680,LQJLLAOISDVBJM-UHFFFAOYSA-N,,,2,,,,AXOMADOL,,AXOMADOL,,,,,COc1cccc(C2(O)CC(O)CCC2CN(C)C)c1,"[""Axomadol"",""Axomadol"",""Axomadol"",""BN110 BASE"",""BN-110 FREE BASE"",""BN110 FREE BASE"",""En3324"",""GRT0151Y"",""GRT151 Base"",""GRT-151 FREE BASE"",""GRT151 FREE BASE""]",[],2026-04-21 13:16:09.646035+00:00,False
,CHEMBL2062276,Small molecule,2026-04-21 13:16:28.693029+00:00,1982,,,CHEMBL2062276,FWMLYVACGDQRFU-MBHUSPCXSA-N,,,4,small_molecule,,,LEVALLORPHAN TARTRATE,,LEVALLORPHAN TARTRATE,,,,,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O=C(O)C(O)C(O)C(=O)O,"[""Levallorphan tartrate"",""Lorfan""]","[""Lorfan""]",2026-04-21 13:16:28.693029+00:00,False
,CHEMBL1946618,Small molecule,2026-04-21 13:16:21.971822+00:00,,,,CHEMBL1946618,ZJKUETLEJYCOBO-UHFFFAOYSA-N,,,2,,,,AZD-7268,,AZD-7268,,,,,CN(CCO)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1,"[""AZ-12488024"",""AZ12488024"",""Azd 7268"",""Azd-7268"",""Azd7268"",""AZD7268""]",[],2026-04-21 13:16:21.971822+00:00,False
,CHEMBL4297345,Small molecule,2026-04-21 13:16:16.643462+00:00,,,,CHEMBL4297345,XROFSGVHHSJMMG-UHFFFAOYSA-N,,,2,,,,ADL-5747,,ADL-5747,,,,,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1.Cl,"[""Adl-5747"",""Adl5747"",""ADL5747""]",[],2026-04-21 13:16:16.643462+00:00,False
,CHEMBL2105749,Small molecule,2026-04-21 13:16:18.464740+00:00,2021,,,CHEMBL2105749,RARHXUAUPNYAJF-QSYGGRRVSA-N,,,4,small_molecule,,,SAMIDORPHAN L-MALATE,,SAMIDORPHAN L-MALATE,,,,,NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3.O=C(O)C[C@H](O)C(=O)O,"[""RDC-0313-02"",""Samidorphan l-malate"",""Samidorphan l-malate"",""Samidorphan l-malate component of lybalvi"",""Samidorphan malate""]","[""Samidorphan l-malate component of lybalvi""]",2026-04-21 13:16:18.464740+00:00,False
,CHEMBL603469,,2026-04-17 03:31:18.466171+00:00,,,,CHEMBL603469,UIARLYUEJFELEN-LROUJFHJSA-N,,,3,,,,LESTAURTINIB,,LESTAURTINIB,,,,,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,"[""A-154475"",""A-154475.0"",""CEP-701"",""KT-555"",""KT-5555"",""KT5555"",""Lestaurtinib"",""SP-924"",""SP924"",""SPM-924""]",[],2026-04-17 03:31:18.466171+00:00,False
,CHEMBL5315055,Small molecule,2026-04-21 13:16:20.199051+00:00,2013,,,CHEMBL5315055,XOBQQQVDLSMXCE-JVRGSUDVSA-N,,,4,small_molecule,,,NALMEFENE HYDROCHLORIDE DIHYDRATE,,NALMEFENE HYDROCHLORIDE DIHYDRATE,,,,,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5.Cl.O.O,"[""Nalmefene hydrochloride dihydrate"",""Nalmefene hydrochloride hydrate"",""Selincro""]","[""Selincro""]",2026-04-21 13:16:20.199051+00:00,False
,CHEMBL4592045,Small molecule,2026-04-21 13:16:34.236616+00:00,,,,CHEMBL4592045,CQOJHAJWCDJEAT-UHFFFAOYSA-N,,,3,,,,NAVACAPRANT,,NAVACAPRANT,,,,,CCc1cc(F)c2nc(N3CCC(NC4CCOCC4)CC3)c(-c3nc(C)no3)c(C)c2c1,"[""BTRX-140"",""Btrx-335140"",""BTRX-335140"",""BTRX335140"",""CYM-53093"",""CYM53093"",""Navacaprant"",""Navacaprant"",""Navacaprant"",""Navacaprant"",""Navacaprant"",""NMRA-140"",""Nmra-335140"",""NMRA-335140"",""NMRA335140""]",[],2026-04-21 13:16:34.236616+00:00,False
