category,created_at,description,external_id,icd_code,id,is_oncology_subtype,mesh_id,name,parent_id,prevalence_tier,source,synonyms,therapeutic_area
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,inflammation,False,MP_0001845,Inflammation,,,,,phenotype
clinical_trial,2026-04-12 13:45:35.868921+00:00,,,,superior semicircular canal dehiscence,False,2052064,Superior Semicircular Canal Dehiscence,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,myocardial dysfunction,False,,Myocardial Dysfunction,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,proteinuria,False,HP_0000093,Proteinuria,,,,,phenotype
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"healthy, no evidence of disease",False,,"Healthy, no Evidence of Disease",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,drug interaction study,False,,Drug Interaction Study,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,metastatic breast cancer,False,,Metastatic Breast Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,breast abscess,False,,Breast Abscess,,,,,
,2026-04-12 13:30:50.417896+00:00,,,,oncology,False,,oncology,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pregnant women receive celesten,False,,Pregnant Women Receive Celesten,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,tuberculosis,False,MONDO_0018076,Tuberculosis,,,,,infectious disease
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,metastatic pancreatic cancer,False,,Metastatic Pancreatic Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,heroin-addicted patients who undertook methadone maintenance treatment,False,,Heroin-addicted Patients Who Undertook Methadone Maintenance Treatment,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,prostate cancer (adenocarcinoma),False,,Prostate Cancer (Adenocarcinoma),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,breast cancer female,False,,Breast Cancer Female,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,body image disturbance,False,,Body Image Disturbance,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,nonvalvular atrial fibrillation,False,,Nonvalvular Atrial Fibrillation,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,intestinal transporter expression,False,,Intestinal Transporter Expression,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,idiopathic thrombocytopenic purpura (itp),False,,Idiopathic Thrombocytopenic Purpura (ITP),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute coronary syndrome (acs),False,,Acute Coronary Syndrome (ACS),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,non-valvular atrial fibrillation (nvaf),False,,Non-valvular Atrial Fibrillation (NVAF),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,lung transplant; complications,False,,Lung Transplant; Complications,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute myeloid leukemia with multilineage dysplasia following myelodysplastic syndrome,False,,Acute Myeloid Leukemia With Multilineage Dysplasia Following Myelodysplastic Syndrome,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute megakaryoblastic leukemia (m7),False,,Adult Acute Megakaryoblastic Leukemia (M7),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute minimally differentiated myeloid leukemia (m0),False,,Adult Acute Minimally Differentiated Myeloid Leukemia (M0),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute monoblastic leukemia (m5a),False,,Adult Acute Monoblastic Leukemia (M5a),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute monocytic leukemia (m5b),False,,Adult Acute Monocytic Leukemia (M5b),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloblastic leukemia with maturation (m2),False,,Adult Acute Myeloblastic Leukemia With Maturation (M2),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloblastic leukemia without maturation (m1),False,,Adult Acute Myeloblastic Leukemia Without Maturation (M1),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloid leukemia with 11q23 (mll) abnormalities,False,,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloid leukemia with del(5q),False,,Adult Acute Myeloid Leukemia With Del(5q),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,chronic kidney disease,False,68051436,Chronic Kidney Disease,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute lymphoblastic leukemia,False,68054198,Acute Lymphoblastic Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pain,False,HP_0012531,Pain,,,,,phenotype
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,brain metastases,False,68001932,Brain Metastases,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,gastroesophageal reflux,False,68005764,Gastroesophageal Reflux,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,drug interaction,False,68041743,Drug Interaction,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,metabolic disease,False,68008659,Metabolic Disease,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,chronic myelogenous leukemia,False,68054429,Chronic Myelogenous Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,depression,False,68061218,Depression,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,hereditary hemorrhagic telangiectasia (hht),False,68065627,Hereditary Hemorrhagic Telangiectasia (HHT),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,familial mediterranean fever,False,68010505,Familial Mediterranean Fever,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,hiv infections,False,68015658,HIV Infections,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,non-small cell lung cancer,False,68002289,Non-Small Cell Lung Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,epilepsy,False,EFO_0000474,Epilepsy,,,,,nervous system disease
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,drug interactions,False,68041743,Drug Interactions,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,drug-drug interaction,False,68004347,Drug-drug Interaction,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,dyspnea,False,68065227,Dyspnea,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"health, subjective",False,68059026,"Health, Subjective",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,asthma,False,MONDO_0004979,Asthma,,,,,phenotype
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,periodontal diseases,False,68010510,Periodontal Diseases,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,relapsed or refractory lymphoma,False,67578314,Relapsed or Refractory Lymphoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,healthy,False,68064689,Healthy,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,healthy volunteers,False,68064368,Healthy Volunteers,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,heart failure,False,68054144,Heart Failure,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,influenza in humans,False,68007251,Influenza in Humans,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,nephrotic syndrome,False,68009404,Nephrotic Syndrome,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,liver transplantation,False,68016031,Liver Transplantation,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,renal transplantation,False,68016030,Renal Transplantation,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pharmacodynamics,False,81000494,Pharmacodynamics,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,major depression,False,68003865,Major Depression,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,medication-induced dyskinesia,False,68004409,Medication-Induced Dyskinesia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,mitral valve stenosis,False,68008946,Mitral Valve Stenosis,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pharmacokinetics,False,81000493,Pharmacokinetics,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"still's disease, adult-onset",False,68016706,"Still's Disease, Adult-Onset",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloid leukemia with inv(16)(p13;q22),False,,Adult Acute Myeloid Leukemia With Inv(16)(p13;q22),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloid leukemia with t(16;16)(p13;q22),False,,Adult Acute Myeloid Leukemia With t(16;16)(p13;q22),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myeloid leukemia with t(8;21)(q22;q22),False,,Adult Acute Myeloid Leukemia With t(8;21)(q22;q22),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult acute myelomonocytic leukemia (m4),False,,Adult Acute Myelomonocytic Leukemia (M4),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult erythroleukemia (m6a),False,,Adult Erythroleukemia (M6a),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,adult pure erythroid leukemia (m6b),False,,Adult Pure Erythroid Leukemia (M6b),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,secondary acute myeloid leukemia,False,,Secondary Acute Myeloid Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,untreated adult acute myeloid leukemia,False,,Untreated Adult Acute Myeloid Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,metastatic colorectal cancer,False,,Metastatic Colorectal Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,systemic embolism,False,68019320,Systemic Embolism,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,colon cancer stage iii,False,,Colon Cancer Stage III,,,,,
clinical_trial,2026-04-12 13:45:48.758105+00:00,,,,systemic inflammatory response syndrome (sirs),False,68018746,Systemic Inflammatory Response Syndrome (SIRS),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,neuroendocrine tumour of the lung,False,,Neuroendocrine Tumour of the Lung,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,small intestinal net,False,,Small Intestinal NET,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,drug interaction potentiation,False,,Drug Interaction Potentiation,,,,,
clinical_trial,2026-04-12 13:45:43.239161+00:00,,,,systemic juvenile idiopathic arthritis,False,68001171,Systemic Juvenile Idiopathic Arthritis,,,,,
clinical_trial,2026-04-12 13:45:28.498308+00:00,,,,systemic mastocytoses,False,68034721,Systemic Mastocytoses,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,trabeculectomy,False,68014130,Trabeculectomy,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,cerebral vein thrombosis,False,,Cerebral Vein Thrombosis,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,comparative bioavailability study,False,,Comparative Bioavailability Study,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,anticoagulants and bleeding disorders,False,,Anticoagulants and Bleeding Disorders,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,advanced solid tumor,False,,Advanced Solid Tumor,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,malignant lymphomas high grade,False,,Malignant Lymphomas High Grade,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,chronic coronary artery disease,False,,Chronic Coronary Artery Disease,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,chronic obstructive pulmonary disease exacerbation,False,,Chronic Obstructive Pulmonary Disease Exacerbation,,,,,
