compound_id,confidence,context_type,mention_count,paper_id
CHEMBL39,1.0,abstract,1,39170954
CHEMBL276711,1.0,abstract,1,39170954
CHEMBL75880,1.0,abstract,1,38195542
CHEMBL1231506,1.0,abstract,1,38195542
CHEMBL535,1.0,abstract,1,37431477
CHEMBL386630,1.0,abstract,1,37455928
CHEMBL3137309,1.0,abstract,1,41061202
CHEMBL3990011,1.0,abstract,1,38940283
CHEMBL2396661,1.0,abstract,1,37469415
CHEMBL1201585,1.0,abstract,1,37469415
CHEMBL1200689,1.0,abstract,1,36518371
CHEMBL1079175,1.0,abstract,1,32438621
CHEMBL3301610,1.0,abstract,1,37475713
CHEMBL189963,1.0,abstract,1,37475713
CHEMBL3545110,1.0,abstract,1,37475713
CHEMBL1201585,1.0,abstract,1,41361931
CHEMBL4297844,1.0,abstract,1,41361931
CHEMBL1743082,1.0,abstract,1,41361931
CHEMBL1789844,1.0,abstract,1,39964714
CHEMBL4297181,1.0,abstract,1,33789427
CHEMBL413,1.0,abstract,1,33789427
CHEMBL1873475,1.0,abstract,1,32664705
CHEMBL413,1.0,abstract,1,39594738
CHEMBL53463,1.0,abstract,1,39594738
CHEMBL1201631,1.0,abstract,1,38389876
CHEMBL1201631,1.0,abstract,1,34554511
CHEMBL464859,1.0,abstract,1,34554511
CHEMBL1201631,1.0,abstract,1,32464093
CHEMBL413,1.0,abstract,1,32464093
CHEMBL1201631,1.0,abstract,1,41319797
CHEMBL413,1.0,abstract,1,34329994
CHEMBL941,1.0,abstract,1,39966356
CHEMBL189963,1.0,abstract,1,39966356
CHEMBL4559134,1.0,abstract,1,37795873
CHEMBL601719,1.0,abstract,1,32114282
CHEMBL2403108,1.0,abstract,1,41083089
CHEMBL1079175,1.0,abstract,1,35259456
CHEMBL554,1.0,abstract,1,34535639
CHEMBL2325741,1.0,abstract,2,33755436
CHEMBL2219422,1.0,abstract,2,33755436
CHEMBL494089,1.0,abstract,1,33755436
CHEMBL2177390,1.0,abstract,1,33755436
CHEMBL1079175,1.0,abstract,1,33755436
CHEMBL1201631,1.0,abstract,1,32990653
CHEMBL413,1.0,abstract,1,32990653
CHEMBL667,1.0,abstract,1,37245858
CHEMBL44,1.0,abstract,1,33129924
CHEMBL45,1.0,abstract,1,33142533
CHEMBL413,1.0,abstract,1,33142533
CHEMBL4297986,1.0,abstract,1,41073832
CHEMBL3990011,1.0,abstract,1,33607312
CHEMBL1200689,1.0,abstract,1,35202908
CHEMBL103,1.0,abstract,1,36386805
CHEMBL428496,1.0,abstract,1,33450278
CHEMBL3989958,1.0,abstract,1,40856270
CHEMBL413,1.0,abstract,1,41438693
CHEMBL187266,1.0,abstract,1,32782437
CHEMBL1256,1.0,abstract,1,32855738
CHEMBL2396661,1.0,abstract,1,38033642
CHEMBL522892,1.0,abstract,1,40790610
CHEMBL554,1.0,abstract,1,40790610
CHEMBL2079588,1.0,abstract,1,40790610
CHEMBL413,1.0,abstract,1,37810956
CHEMBL413,1.0,abstract,1,37721413
CHEMBL413,1.0,abstract,1,31586300
CHEMBL2107832,1.0,abstract,1,31586300
CHEMBL1079175,1.0,abstract,1,31586300
