confidence,context_type,mention_count,paper_id,target_id
1.0,,,37284934,ACE
1.0,,,37895150,ACE
1.0,,,40619432,ACE
1.0,,,34782093,ACE
1.0,,,37394257,ACE
1.0,,,37525924,ACE
1.0,,,38957198,ACE
1.0,,,33849279,ACE
1.0,,,37868968,ACE
1.0,,,37039790,ACE
1.0,,,41535444,ACE
1.0,,,38353881,ACE
1.0,,,33781839,ACE
1.0,,,35151768,ACE
1.0,,,39387631,ACE
1.0,,,34384553,ACE
1.0,,,32662682,ACE
1.0,,,35082055,ACE
1.0,,,36386190,ACE
1.0,,,40998561,ACE
1.0,,,35081451,ACE
1.0,,,31940798,ACE
1.0,,,37484281,ACE
1.0,,,39122205,ACE
1.0,,,41714068,ACE
1.0,,,40818772,ACE
1.0,,,32864784,ACE
1.0,,,40905143,ACE
1.0,,,35196189,ACE
1.0,,,31802381,ACE
1.0,,,39019387,ACE
1.0,,,32157838,ACE
1.0,,,38333911,ACE
1.0,,,37060355,ACE
1.0,,,34958163,ACE
1.0,,,35257306,ACE
1.0,,,37795232,ACE
1.0,,,38543146,ACE
1.0,,,36016727,ACE
1.0,,,35113565,ACE
1.0,,,38986897,ACE
1.0,,,34903929,ACE
1.0,,,39681828,ACE
1.0,,,33146371,ACE
1.0,,,39720381,ACE
1.0,,,34046276,ACE
1.0,,,36361252,ACE
1.0,,,33402454,ACE
1.0,,,33842874,ACE
1.0,,,33583391,ACE
1.0,,,41154607,ACE
1.0,,,39046229,ACE
1.0,,,39000163,ACE
1.0,,,32835726,ACE
1.0,,,31889494,ACE
1.0,,,38333456,ACE
1.0,,,36336371,ACE
1.0,,,33998079,ACE
1.0,,,36505231,ACE
1.0,,,35474585,ACE
1.0,,,34567875,ACE
1.0,,,33456919,ACE
1.0,,,35822425,ACE
1.0,,,36803524,ACE
1.0,,,32249608,ACE
1.0,,,35886227,ACE
1.0,,,40832424,ACE
1.0,,,35472033,ACE
1.0,,,37675925,ACE
1.0,,,37389408,ACE
1.0,,,37502959,ACE
1.0,,,33456355,ACE
1.0,,,32367746,ACE
1.0,,,34086160,ACE
1.0,,,36245815,ACE
1.0,,,38038000,ACE
1.0,,,34642085,ACE
