patent_id,person_id
EP-4634184-A1,HOFFMANN MILAN JURGEN
EP-4634184-A1,BUIJSMAN ROGIER CHRISTIAN
EP-4634184-A1,VAN GEMERT SANDER PETRUS WILHELMUS
EP-4634184-A1,DE WIT JOERI JOHANNES PETRUS
EP-4634184-A1,MULLER MICHELLE
EP-4634184-A1,UITDEHAAG JOOST CORNELIS MARINUS
EP-4634184-A1,PRINSEN MARTINE BERENDINA WILHEMINA
EP-4634184-A1,REMMERS RIK CASPER PETRUS AUGUST
EP-4634184-A1,VAN CAUTER FREEK
EP-4634184-A1,VAN MIL YVONNE GERTRUDA THEODORA HENDRIKA
EP-4634184-A1,DE MAN ADRIANUS PETRUS ANTONIUS
EP-4634184-A1,STERRENBURG JAN GERARD
EP-4634184-A1,MULDER WINFRIED ROBERT
EP-4634184-A1,VU-PHAM DIEP
EP-4633630-A1,ZHANG XIAOLING
EP-4633630-A1,YU PEONY
EP-4633630-A1,YU GUO-LIANG
EP-4633630-A1,REDKAR SANJEEV
US-2025319091-A1,STERN HOWARD M
US-2025319091-A1,KUTOK JEFFERY L
WO-2025217052-A1,MCKEON FRANK
WO-2025217052-A1,XIAN WA
WO-2025217052-A1,VINCENT MATTHEW
WO-2025217052-A1,RUSSELL RICHARD E
US-2025320219-A1,CAI SUI XIONG
US-2025320219-A1,TIAN YE EDWARD
US-2025320219-A1,WANG XIAOZHU
US-2025320217-A1,KULTGEN STEVEN G
US-2025320217-A1,XU YONG
US-2025320217-A1,SAUNDERS MICHAEL DAVID
US-2025320217-A1,LIU XIAOHUI
US-2025320217-A1,HO KOC-KAN
US-2025320217-A1,BRENNING BENJAMIN GARY
US-2025320185-A1,CHENG DAI
US-2025320185-A1,ZHOU XIAOBO
US-2025320185-A1,ZHOU YANG
US-2025320185-A1,ZENG SEN
US-2025320185-A1,YIN XIAOHANG
US-2025320185-A1,YUE QIMING
US-2025320185-A1,HE ZHIXIANG
US-2025320185-A1,Xie Zeqiang
US-2025320185-A1,DING QIANG
EP-4630423-A1,KEANEY GREGG F
EP-4630423-A1,CHAMBERLAIN BRIAN T
EP-4630423-A1,LUCAS MATTHEW CHARLES
EP-4630423-A1,KENT CAITLIN NICOLE
EP-4630423-A1,LOWE III JOHN A
EP-4630424-A1,KEANEY GREGG F
EP-4630424-A1,CHAMBERLAIN BRIAN T
EP-4630424-A1,LUCAS MATTHEW CHARLES
EP-4630424-A1,KENT CAITLIN NICOLE
EP-4630424-A1,LOWE III JOHN A
EP-4631507-A2,KANG SE IN
EP-4631507-A2,KIM SEUNG SU
EP-4631507-A2,CHOI HWAN GEUN
EP-4631507-A2,HAN AH REUM
EP-4631507-A2,SON JUNG BEOM
EP-4631507-A2,LEE YOUN HO
EP-4631507-A2,KO YI KYUNG
EP-4631507-A2,KIM DA EUN
EP-4631507-A2,KO EUN HWA
EP-4631507-A2,KIM NAM DOO
EP-4631507-A2,KANG JU HEE
EP-4631507-A2,KIM HWAN
EP-4631507-A2,SEOK JI YOON
EP-4631507-A2,RYU MIN SEOK
EP-4631507-A2,HWANG DONG KEUN
EP-4631507-A2,LEE SUN HWA
EP-4631505-A2,SHAKYA SAGAR
EP-4631505-A2,BEVILL MELANIE JANELLE
EP-4631505-A2,DEMORIN FRENEL
EP-4631505-A2,PARENT STEPHAN D
EP-4631505-A2,WONG PETER
EP-4631505-A2,JOHNSON COURTNEY S
EP-4631505-A2,SHAH KHALID
EP-4630054-A1,TOY WEIYI
EP-4630054-A1,THAKKAR DIPTI
EP-4630054-A1,ROWINSKY ERIC
EP-4630054-A1,BOYD-KIRKUP JEROME
EP-4630054-A1,INGRAM PIERS
US-12441733-B2,ARISTA LUCA
US-12441733-B2,SCHMIEDEBERG NIKO
US-12441733-B2,HOLLINGWORTH GREGORY JOHN
US-12441733-B2,MACHAUER RAINER
US-12441733-B2,HEBACH CHRISTINA
US-12441733-B2,ZOLLER THOMAS
US-12441733-B2,IMBACH-WEESE PATRICIA
US-12441733-B2,VULPETTI ANNA
US-12441733-B2,HOLZER PHILIPP
US-12441733-B2,LORBER JULIEN
US-12440492-B2,HIDBER PIRMIN
US-12440492-B2,PEPELNJAK MARIE
US-12440492-B2,YOST EDWARD
US-12440492-B2,REENTS REINHARD
US-12440492-B2,GOSSELIN FRANCIS
US-12440492-B2,WUNDERLICH MARTIN
US-12440492-B2,STEIDLE PETER
US-12440492-B2,HELL ANDRE
US-12441717-B2,WANG HAIBO
US-12441717-B2,HAN GUOHUI
US-12441765-B2,RUVO MENOTTI
US-12441765-B2,ROSIELLO DAVIDE
US-12441765-B2,DE FALCO SANDRO
WO-2025210042-A1,GIOVANNINI RICCARDO
WO-2025210042-A1,HOHN CHRISTOPH
WO-2025210042-A1,MUELLER STEPHAN GEORG
WO-2025210042-A1,HOFMANN MARCO HANS
WO-2025210042-A1,SCHENK ROBYN LEIGH
WO-2025210042-A1,HEINE NIKLAS HELGE
WO-2025210042-A1,LANGKOPF ELKE
WO-2025210042-A1,BAUM ANKE
US-2025312349-A1,SUBAUSTE CARLOS
US-2025312348-A1,NILSSON MONIQUE
US-2025312348-A1,ROBICHAUX JACQULYNE
US-2025312348-A1,HEYMACH JOHN V
US-2025312330-A1,CHEN TZEHAW
US-2025312330-A1,MCTARSNEY JOSEPH
US-2025312330-A1,WERTZ CHRISTIAN F
WO-2025209278-A1,WU FAN
WO-2025209278-A1,XING LI
WO-2025209278-A1,LIU HAITAO
WO-2025209278-A1,ZHU WEI
US-2025313556-A1,QIAN XIANGPING (SHAWN)
EP-4628083-A2,SURLERAUX DOMINIQUE
EP-4628083-A2,GUILLON REMI
EP-4628083-A2,AMIABLE CLAIRE
EP-4628083-A2,DEROO SABRINA
EP-4628083-A2,DIEUDONNÉ FRANÇOIS-XAVIER
EP-4628083-A2,LOUAT THIERRY
EP-4626884-A1,WILSON DOUGLAS
EP-4626884-A1,HAIDLE ANDREW MARC
EP-4626884-A1,SAMARAKOON THIWANKA
EP-4626884-A1,KIM JOSEPH L
EP-4626884-A1,DAI YINGHUI
EP-4626884-A1,FANG CHENG
EP-4626884-A1,PEROLA EMANUELE
EP-4626884-A1,DINEEN THOMAS A
EP-4626884-A1,DU GUANGYAN
EP-4626884-A1,BRUBAKER JASON D
