compound_id,confidence,context_type,mention_count,patent_id
CHEMBL254328,1.0,abstract,1,EP-3337477-A1
CHEMBL3183409,1.0,abstract,1,EP-3337477-A1
CHEMBL2396661,1.0,abstract,1,US-12427142-B2
CHEMBL3137309,1.0,abstract,1,WO-2025184298-A1
CHEMBL189963,1.0,abstract,1,WO-2025085360-A1
CHEMBL3301610,1.0,abstract,1,WO-2025085360-A1
CHEMBL3545110,1.0,abstract,1,WO-2025085360-A1
CHEMBL2103840,1.0,abstract,1,WO-2025085360-A1
CHEMBL564829,1.0,abstract,1,WO-2025085360-A1
CHEMBL14762,1.0,abstract,1,WO-2025085360-A1
CHEMBL355001,1.0,abstract,1,EP-4536363-A1
CHEMBL5095036,1.0,abstract,1,US-2025208149-A1
CHEMBL1201585,1.0,abstract,1,WO-2025114411-A1
CHEMBL103,1.0,abstract,1,US-12310980-B2
CHEMBL1201631,1.0,abstract,1,US-2025134837-A1
CHEMBL413,1.0,abstract,1,US-2025134837-A1
CHEMBL2146883,1.0,abstract,1,EP-4272735-A1
CHEMBL3707227,1.0,abstract,1,US-12421313-B2
CHEMBL4303201,1.0,abstract,1,US-12421313-B2
CHEMBL53463,1.0,abstract,1,WO-2025172829-A1
CHEMBL1201631,1.0,abstract,1,WO-2023116671-A1
CHEMBL1200689,1.0,abstract,1,WO-2023116671-A1
CHEMBL3137343,1.0,abstract,1,WO-2025106658-A1
CHEMBL2146883,1.0,abstract,1,EP-3316867-A1
CHEMBL2146883,1.0,abstract,1,US-2018116966-A1
CHEMBL3137309,1.0,abstract,1,WO-2024229439-A3
CHEMBL4535757,1.0,abstract,1,WO-2025101623-A1
CHEMBL5416410,1.0,abstract,1,EP-4552631-A2
CHEMBL4594350,1.0,abstract,1,EP-4552631-A2
CHEMBL4535757,1.0,abstract,1,US-2025145589-A1
CHEMBL1094636,1.0,abstract,1,WO-2019133697-A1
CHEMBL575060,1.0,abstract,1,EP-4635980-A1
CHEMBL3137309,1.0,abstract,1,EP-4598962-A1
CHEMBL4650215,1.0,abstract,1,CN117281814A
CHEMBL2177390,1.0,abstract,1,US2022226481A1
CHEMBL413,1.0,abstract,1,US-11034701-B2
CHEMBL2177390,1.0,abstract,1,WO2020210337A1
CHEMBL3137320,1.0,abstract,1,US-11607405-B2
CHEMBL521686,1.0,abstract,1,US-11607405-B2
CHEMBL506871,1.0,abstract,1,US-11607405-B2
CHEMBL2396661,1.0,abstract,2,US-12427141-B2
CHEMBL2105728,1.0,abstract,1,US-2025161293-A1
CHEMBL413,1.0,abstract,1,EP-4629989-A2
CHEMBL1258517,1.0,abstract,1,WO-2025210119-A1
CHEMBL413,1.0,abstract,1,WO-2025199064-A1
CHEMBL413,1.0,abstract,1,EP-4618968-A1
CHEMBL105442,1.0,abstract,1,WO-2025193971-A1
CHEMBL3707227,1.0,abstract,1,US-2025320297-A1
