org_id,patent_id
WEISHANG SHANGHAI BIO PHARMACEUTICAL CO LTD [CN],US20260069592A1
"WEISHANG (SHANGHAI) BIO-PHARMACEUTICAL CO., LTD",US20260069592A1
CARDIFF ONCOLOGY INC [US],US20260069596A1
"Cardiff Oncology, Inc",US20260069596A1
JANSSEN BIOTECH INC [US],US20260070993A1
"Janssen Biotech, Inc",US20260070993A1
SHINSHU UNIV [JP],US20260070956A1
KYOTO PREFECTURAL PUBLIC UNIV CORPORATION [JP],US20260070956A1
"SHINSHU UNIVERSITY,",US20260070956A1
KYOTO PREFECTURAL PUBLIC UNIVERSITY CORPORATION,US20260070956A1
SINOCELLTECH LTD [CN],ZA202211532B
SINOCELLTECH LTD,ZA202211532B
TIGATX INC,AU2024315062A1
"TIGATX, INC",AU2024315062A1
CHINOOK THERAPEUTICS INC [US],TW202545517A
"CHINOOK THERAPEUTICS, INC",TW202545517A
ASTELLAS PHARMA INC [JP],TW202545934A
ASTELLAS PHARMA INC,TW202545934A
JANSSEN BIOTECH INC [US],TW202547867A
"JANSSEN BIOTECH, INC",TW202547867A
JANSSEN BIOTECH INC [US],TW202547868A
"JANSSEN BIOTECH, INC",TW202547868A
"경희대학교 산학협력단,",KR20260024837A
한국 한의학 연구원,KR20260024837A
YUHAN CORP [KR],RS67623B1
YUHAN CORPORATION,RS67623B1
JANSSEN BIOTECH INC [US],AU2024292601A1
"JANSSEN BIOTECH, INC",AU2024292601A1
BEONE MEDICINES I GMBH [CH],US20260061067A1
BeOne Medicines I GmbH,US20260061067A1
DUALITY BIOLOGICS SUZHOU CO LTD [CN],AU2024293470A1
"DUALITY BIOLOGICS (SUZHOU) CO., LTD",AU2024293470A1
ABIOTECH PHARMACEUTICAL CO LTD [CN],AU2024318495A1
"ABIOTECH PHARMACEUTICAL CO., LTD",AU2024318495A1
SYSTIMMUNE INC [US],WO2026039377A1
"SYSTIMMUNE, INC",WO2026039377A1
ANHUI PHARMAMAX BIOTECH CO LTD [CN],WO2026037438A1
安徽法尔麦斯生物科技有限公司,WO2026037438A1
UNIV INDUSTRY COOPERATION GROUP KYUNG HEE UNIV [KR],WO2026038757A1
KOREA INST ORIENTAL MEDICINE [KR],WO2026038757A1
"경희대학교 산학협력단,",WO2026038757A1
한국 한의학 연구원,WO2026038757A1
UNIV INDUSTRY COOPERATION GROUP KYUNG HEE UNIV [KR],WO2026038752A1
KOREA INST ORIENTAL MEDICINE [KR],WO2026038752A1
"경희대학교 산학협력단,",WO2026038752A1
한국 한의학 연구원,WO2026038752A1
SHANGHAI HENLIUS BIOTECH INC [CN],WO2026037257A1
SHANGHAI HENLIUS BIOLOGICS CO LTD [CN],WO2026037257A1
SHANGHAI HENLIUS BIOSCIENCE CO LTD [CN],WO2026037257A1
"SHANGHAI HENLIUS BIOTECH, INC,",WO2026037257A1
"SHANGHAI HENLIUS BIOLOGICS CO., LTD,",WO2026037257A1
"SHANGHAI HENLIUS BIOSCIENCE CO., LTD",WO2026037257A1
NALO THERAPEUTICS INC [US],US20260048067A1
"Nalo Therapeutics, Inc",US20260048067A1
JANSSEN BIOTECH INC [US],US20260048065A1
"Janssen Biotech, Inc",US20260048065A1
ORIC PHARMACEUTICALS INC [US],MX2025012495A
"ORIC PHARMACEUTICALS, INC",MX2025012495A
UNIV TEXAS [US],WO2026035817A1
"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM",WO2026035817A1
THERAPEX CO LTD [KR],WO2026034956A1
주식회사 테라펙스,WO2026034956A1
C4 THERAPEUTICS INC [US],US20260042782A1
"C4 THERAPEUTICS, INC",US20260042782A1
EPIBIOLOGICS INC [US],US20260042851A1
"EpiBiologics, Inc",US20260042851A1
CSPC ZHONGQI PHARMACEUTICAL TECH SHIJIAZHUANG CO LTD [CN],WO2026026940A1
石药集团中奇制药技术（石家庄）有限公司,WO2026026940A1
BAYER AG [DE],US20260035365A1
BROAD INST INC [US],US20260035365A1
DANA FARBER CANCER INST INC [US],US20260035365A1
"Bayer Aktiengesellschaft,",US20260035365A1
"The Broad Institute, Inc,",US20260035365A1
"Dana-Farber Cancer Institute, Inc",US20260035365A1
UNIV HONG KONG BAPTIST UNIV [CN],US20260034087A1
Hong Kong Baptist University,US20260034087A1
