source_doc_id,source_doc_type,subject_id,subject_type,relation_type,object_id,object_type,confidence,evidence_text,correct,rationale,review_flag
41746432,paper,CHEMBL3990044,compound,inhibits,LAG3,target,0.38270485401153564,"Predicting skin melanoma progression via LAG-3, TIGIT and HAVCR2.. UNLABELLED: Skin cutaneous melanoma (SKCM) is a highly aggressive malignancy with increasing global incidence and mortality. While immune checkpoint inhibitors, predominantly PD-1/PD-L1 blockers, have improved outcomes, resistance and immune-related toxicity remain major challenges. Relatlimab, a lymphocyte activation gene-3 (LAG3) inhibitor, in combination with PD-1 inhibitors, has shown clinical promise, while emerging immune r",Yes,,
41043761,paper,CHEMBL3353410,compound,inhibits,AURKB,target,0.5264253616333008,"METTL3 contributes to osimertinib resistance in non-small cell lung cancer cell lines by regulating CDC25A and AURKB mRNA stability.. Osimertinib, a third-generation EGFR tyrosine kinase inhibitor, is used as a first-line therapy for non-small cell lung cancer (NSCLC) harboring EGFR mutations. Nevertheless, the emergence of acquired drug resistance poses a significant challenge, leading to poor clinical outcomes. METTL3, a key methyltransferase responsible for N6-methyladenosine (m6A) modificati",No,c>t: co-mention / network-pharmacology / wrong polarity / compound real target differs,
39557132,paper,ATR,target,inhibits,BRCA1,target,0.4307616353034973,"Molecular mechanisms restoring olaparib efficacy through ATR/CHK1 pathway inhibition in olaparib-resistant BRCA1/2MUT ovarian cancer models.. Resistance to olaparib inevitably develops in ovarian cancer (OC) patients, highlighting the necessity for effective strategies to improve its efficacy. Here, we established a novel olaparib-resistant patient-derived xenograft model of high-grade serous OC with BRCA1/2 mutations and examined the molecular characteristics of acquired resistance and resensit",No,"t>t: co-mention of two separate drug targets (combination/multi-target/pathway), no direct inhibition",
40017244,paper,CHEMBL44,compound,inhibits,HER2,target,0.37666913866996765,"Genistein as a Chemo-modulatory Agent: Exploring its Potential in Chemosensitization and Combinatorial Therapeutic Strategies for Cancer Treatment.. Genistein (GEN), a phytoestrogen primarily sourced from soy plants, is recognized for its anticancer properties attributed to its roles as a tyrosine kinase inhibitor, an estrogen receptor agonist, and its influence on various cancer hallmarks by modulating diverse signaling pathways. Recent research has highlighted the considerable potential of GEN",No,c>t: co-mention / network-pharmacology / wrong polarity / compound real target differs,
37874005,paper,CHEMBL608533,compound,inhibits,CHEMBL3989958,compound,0.3698081970214844,"Ivosidenib in acute myeloid leukemia.. INTRODUCTION: Traditional treatment strategies for acute myeloid leukemia (AML) have primarily relied on standard chemotherapy regimens for four decades. Indeed, the landscape of AML therapy has evolved substantially in recent years, mainly due to the introduction of hypomethylating agents and small molecules.Bcl2 inhibitor venetoclax, Fms-like tyrosine kinase 3 (FLT3) inhibitors such as midostaurin and gilteritinib, and isocitrate dehydrogenases 1 and 2 (I",No,"compound->compound: drug combination / co-mention, not a real inhibition relation",
36185300,paper,CHEMBL4297522,compound,inhibits,CHEMBL3353410,compound,0.4204199016094208,"Comparative kinase and cancer cell panel profiling of kinase inhibitors approved for clinical use from 2018 to 2020.. During the last two decades, kinase inhibitors have become the major drug class for targeted cancer therapy. Although the number of approved kinase inhibitors increases rapidly, comprehensive in vitro profiling and comparison of inhibitor activities is often lacking in the public domain. Here we report the extensive profiling and comparison of 21 kinase inhibitors approved by the",No,"compound->compound: drug combination / co-mention, not a real inhibition relation",
38677641,paper,CHEMBL3809489,compound,inhibits,AXL,target,0.6032587289810181,"Axl as a potential therapeutic target for adamantinomatous craniopharyngiomas: Based on single nucleus RNA-seq and spatial transcriptome profiling.. Craniopharyngiomas (CPs), particularly Adamantinomatous Craniopharyngiomas (ACPs), often exhibit a heightened risk of postoperative recurrence and severe complications of the endocrine and hypothalamic function. The primary objective of this study is to investigate potential novel targeted therapies within the microenvironment of ACP tumors. Cancer-",Yes,,
36386232,paper,PTGS1,target,inhibits,TNF,target,0.44124409556388855,"Anxiolytic effect of YangshenDingzhi granules: Integrated network pharmacology and hippocampal metabolomics.. Anxiety disorder is one of the most common mental diseases. It is mainly characterized by a sudden, recurring but indescribable panic, fear, tension and/or anxiety. Yangshendingzhi granules (YSDZ) are widely used in the treatment of anxiety disorders, but its active ingredients and underlying mechanisms are not yet clear. This study integrates network pharmacology and metabolomics to inv",No,"t>t: co-mention of two separate drug targets (combination/multi-target/pathway), no direct inhibition",
37240900,paper,STS,target,inhibits,MDM2,target,0.5908598303794861,"Targeted Treatment of Soft-Tissue Sarcoma.. Background: Soft-tissue sarcoma (STS) is a heterogeneous group of sarcomas with a low incidence. The treatment of advanced disease is poor, and mortality is high. We aimed to generate an overview of the clinical experiences with targeted treatments based on a pre-specified target in patients with STS. Methods: A systematic literature search was conducted in PubMed and Embase databases. The programs ENDNOTE and COVIDENCE were used for data management. T",No,"t>t: co-mention of two separate drug targets (combination/multi-target/pathway), no direct inhibition",
38011941,paper,CHEMBL4285417,compound,inhibits,ATR,target,0.46736544370651245,The ATR inhibitor elimusertib exhibits anti-lymphoma activity and synergizes with the PI3K inhibitor copanlisib.. The DNA damage response (DDR) is the cellular process of preserving an intact genome and is often deregulated in lymphoma cells. The ataxia telangiectasia and Rad3-related (ATR) kinase is a crucial factor of DDR in the response to DNA single-strand breaks. ATR inhibitors are agents that have shown considerable clinical potential in this context. We characterized the activity of the A,Yes,,
