bypass_target_id,confidence,created_at,evidence_text,id,resistance_kind,resistant_target_id,source_doc_id
PARP2,0.3,2026-05-17 03:12:57.288317+00:00,Epithelial ovarian cancer (EOC) accounts for nearly 90% of all ovarian malignancies. The standard therapeutic strategy includes cytoreductive surgery and neo (adjuvant) platinum-based chemotherapy. Relapse of advanced high grade serous ovarian cancer (HGSOC) is related to the development of drug res,1,general,BRCA2,31650446
BRCA1,0.4,2026-05-17 03:12:57.288317+00:00,PURPOSE OF REVIEW: To summarize recently discovered PARP inhibitor resistance mechanisms and highlight the clinical relevance of these findings to date. RECENT FINDINGS: A predominant mechanism of acquired PARP inhibitor resistance in homologous recombination-deficient cancers is the acquisition of ,2,acquired,BRCA2,31815769
ITGB3,0.3,2026-05-17 03:12:57.288317+00:00,"In the last years, the use of thrombopoietin receptor agonists (TPO-RA), eltrombopag and romiplostim, has improved the management of immune thrombocytopenia (ITP). Moreover, eltrombopag is also active in patients with aplastic anemia and myelodysplastic syndrome. However, their mechanisms of action ",3,general,ITGA2B,31838946
FGFR1,0.3,2026-05-17 03:12:57.288317+00:00,"The main challenges in treating acute promyelocytic leukemia (APL) are currently early mortality, relapse, refractory disease after induction therapy, and drug resistance to ATRA and ATO. In this study, a computational chemogenomics approach was used to identify new molecular targets and drugs for A",4,general,ABL1,32016577
PDGFRB,0.3,2026-05-17 03:12:57.288317+00:00,"The main challenges in treating acute promyelocytic leukemia (APL) are currently early mortality, relapse, refractory disease after induction therapy, and drug resistance to ATRA and ATO. In this study, a computational chemogenomics approach was used to identify new molecular targets and drugs for A",5,general,ABL1,32016577
ROS1,0.3,2026-05-17 03:12:57.288317+00:00,"Traditional cancer treatment includes surgery, chemotherapy, radiotherapy and immunotherapy that are clinically beneficial, but are associated with drawbacks such as drug resistance and side effects. In quest for better treatment, many new molecular targets have been introduced in the last few decad",6,general,WEE1,32048968
BCL2L1,0.3,2026-05-17 03:12:57.288317+00:00,"OBJECTIVES: Venetoclax, an orally available BCL2-selective inhibitor, has demonstrated promising single-agent anti-tumour activity in myeloma especially patients with t(11;14). Herein, whether venetoclax sensitivity could be enhanced or restored in combination with bortezomib or S63845, a novel MCL1",7,general,MCL1,32066201
MCL1,0.4,2026-05-17 03:12:57.288317+00:00,"Apoptosis is a highly conserved mechanism enabling the removal of unwanted cells. Mitochondrial apoptosis is governed by the B-cell lymphoma (BCL-2) family, including anti-apoptotic and pro-apoptotic proteins. Apoptosis evasion by dysregulation of anti-apoptotic BCL-2 members (BCL-2, MCL-1, BCL-XL) ",8,acquired,BCL2,32183335
BCL2,0.3,2026-05-17 03:12:57.288317+00:00,The ability to inhibit mitochondrial apoptosis is a hallmark of B-cell non-Hodgkin lymphomas (B-NHL). Activation of mitochondrial apoptosis is tightly controlled by members of B-cell leukemia/lymphoma-2 (BCL-2) family proteins via protein-protein interactions. Altering the balance between anti-apopt,9,general,BCL2L1,32290241
CHEK1,0.4,2026-05-17 03:12:57.288317+00:00,"Mechanisms driving resistance to cyclin-dependent kinase 4/6 inhibitors (CDK4/6i) in hormone receptor-positive (HR+) breast cancer have not been clearly defined. Whole-exome sequencing of 59 tumors with CDK4/6i exposure revealed multiple candidate resistance mechanisms including RB1 loss, activating",10,acquired,CDK4,32404308
