association_score,evidence_type,indication_id,source_doc_id,target_id
,,oncology,,EGFR
,,oncology,,ERBB2
,,oncology,,ALK
,,oncology,,ROS1
,,oncology,,BRAF
,,oncology,,MET
,,oncology,,RET
,,oncology,,KRAS
,,oncology,,NTRK1
,,oncology,,NTRK2
,,oncology,,NTRK3
,,oncology,,ERBB3
,,oncology,,FGFR1
,,oncology,,FGFR2
,,oncology,,FGFR3
,,oncology,,FGFR4
,,oncology,,FLT3
,,oncology,,KIT
,,oncology,,PDGFRA
,,oncology,,PDGFRB
,,oncology,,PIK3CA
,,oncology,,AKT1
,,oncology,,AKT2
,,oncology,,AKT3
,,oncology,,MTOR
,,oncology,,MAPK14
,,oncology,,MAPK1
,,oncology,,CDK2
,,oncology,,CDK4
,,oncology,,CDK6
,,oncology,,CDK1
,,oncology,,CHEK1
,,oncology,,CHEK2
,,oncology,,PARP1
,,oncology,,PARP2
,,oncology,,CTLA4
,,oncology,,LAG3
,,oncology,,TIGIT
,,oncology,,HAVCR2
,,oncology,,TP53
,,oncology,,BCL2L1
,,oncology,,BCL2
,,oncology,,MCL1
,,oncology,,ABL1
,,oncology,,LCK
,,oncology,,FLT1
,,oncology,,KDR
,,oncology,,FLT4
,,oncology,,SRC
,,oncology,,RAF1
,,oncology,,MYC
,,oncology,,MDM2
,,oncology,,VHL
,,oncology,,BRCA1
,,oncology,,BRCA2
,,oncology,,JUN
,,oncology,,CCND1
,,oncology,,ARAF
,,oncology,,MAP3K20
,,oncology,,ICK
,,oncology,,PBK
,,oncology,,MUC16
,,oncology,,VAV1
,,oncology,,REL
,,oncology,,FUS
,,oncology,,WNT3
,,oncology,,WNT1
,,oncology,,MOS
,,oncology,,FES
,,oncology,,CDK2AP1
,,oncology,,DUSP26
,,oncology,,TSSK6
,,oncology,,WNK2
,,oncology,,LATS1
,,oncology,,ALDOA
,,oncology,,PHF13
,,oncology,,ATAD2
,,oncology,,OLA1
,,oncology,,MAGEA4
,,oncology,,CTAG1A
,,oncology,,RAD1
,,oncology,,CDC20
,,oncology,,CDCA2
,,oncology,,CDC16
,,oncology,,CDC23
,,oncology,,SPIN1
,,oncology,,PNPLA6
,,oncology,,NTPCR
,,oncology,,STRADA
,,oncology,,ACTL8
,,oncology,,PPHLN1
,,oncology,,BRDT
,,oncology,,BICRA
,,oncology,,TRIM59
,,oncology,,TOE1
,,oncology,,MLST8
,,oncology,,HEATR6
,,oncology,,SLC45A3
,,oncology,,KLK1
,,oncology,,MAS1
,,oncology,,SGK1
,,oncology,,IDH1
,,oncology,,IDH2
,,oncology,,PTPN11
,,oncology,,TNFAIP3
,,oncology,,WEE1
,,oncology,,ATR
,,oncology,,ATM
,,oncology,,BRD4
,,oncology,,EZH2
,,oncology,,HDAC1
,,oncology,,HDAC2
,,oncology,,DOT1L
,,oncology,,SOS1
,,oncology,,PRMT5
,,oncology,,TROP2
,,oncology,,NECTIN4
,,oncology,,DLL3
,,oncology,,CLDN18
,,oncology,,SHP1
,,oncology,,MAP2K2
,,oncology,,MAP2K1
,,oncology,,KRASG12C
,,oncology,,PTEN
,,oncology,,NFE2L2
,,oncology,,CDKN2A
,,neuroscience,,HTR2A
,,neuroscience,,HTR1A
,,neuroscience,,DRD2
,,neuroscience,,DRD1
,,neuroscience,,SLC6A3
,,neuroscience,,SLC6A4
,,neuroscience,,SLC6A2
,,neuroscience,,HRH1
,,neuroscience,,HRH3
,,neuroscience,,ADRA2A
,,neuroscience,,ALK
,,neuroscience,,GRIN2B
,,neuroscience,,GRIN1
,,neuroscience,,GRIA1
,,neuroscience,,GRIA2
,,neuroscience,,GABRA1
,,neuroscience,,GABRB2
,,neuroscience,,CHRNA7
,,neuroscience,,CHRM1
,,neuroscience,,CHRM2
,,neuroscience,,CHRM3
,,neuroscience,,ACHE
,,neuroscience,,ACE
,,neuroscience,,ADAM17
,,neuroscience,,MAPT
,,neuroscience,,APP
,,neuroscience,,BACE1
,,neuroscience,,ATXN2
,,neuroscience,,SNCA
,,neuroscience,,SNCB
,,neuroscience,,PRNP
,,neuroscience,,PARK7
,,neuroscience,,PINK1
,,neuroscience,,PRKN
,,neuroscience,,MAPK14
,,neuroscience,,IKBKB
,,neuroscience,,KDR
,,neuroscience,,ESR2
,,neuroscience,,HSD17B10
,,neuroscience,,MAPK1
,,neuroscience,,CA2
,,neuroscience,,HSD11B1
,,neuroscience,,MAOA
,,neuroscience,,MAOB
,,neuroscience,,XDH
,,neuroscience,,AR
,,neuroscience,,OPRM1
,,neuroscience,,OPRD1
,,neuroscience,,OPRK1
,,neuroscience,,ORL1
,,neuroscience,,EDNRA
,,neuroscience,,EDNRB
,,neuroscience,,NPY1R
,,neuroscience,,NPY2R
,,neuroscience,,CNR1
,,neuroscience,,CNR2
,,neuroscience,,ADRB1
,,neuroscience,,ADRB2
,,neuroscience,,ABCB1
,,neuroscience,,PSEN1
,,neuroscience,,DYRK1A
,,neuroscience,,RIPK2
,,neuroscience,,PIN1
,,neuroscience,,CPT2
,,neuroscience,,KLF5
,,neuroscience,,TP63
,,neuroscience,,PTGS2
,,neuroscience,,LRRK2
,,neuroscience,,NR3C1
,,neuroscience,,GLA
,,neuroscience,,SIGMAR1
,,neuroscience,,EEF2K
,,neuroscience,,BRD4
,,neuroscience,,PKM
,,neuroscience,,HTR3A
,,neuroscience,,ADORA1
,,neuroscience,,ADORA2A
,,neuroscience,,ABCC9
,,neuroscience,,KCNH2
,,neuroscience,,KCNA5
,,neuroscience,,TRPV4
,,neuroscience,,TRPV1
,,neuroscience,,ROCK2
,,neuroscience,,CDK5
,,neuroscience,,AURKB
,,neuroscience,,HDAC6
,,neuroscience,,TH
,,neuroscience,,ALDH5A1
,,neuroscience,,GCH1
,,neuroscience,,GNB5
,,neuroscience,,YWHAB
,,neuroscience,,GSK3B
,,neuroscience,,BACE2
,,neuroscience,,TRPC6
,,neuroscience,,SMARCA4
,,neuroscience,,PSMA1
,,neuroscience,,MAP2
,,neuroscience,,CHUK
,,neuroscience,,MAP2K1
,,neuroscience,,PRKACA
,,neuroscience,,SLC12A2
,,neuroscience,,DDC
,,neuroscience,,PSEN2
,,neuroscience,,CHEK1
,,neuroscience,,NTRK1
,,neuroscience,,PDGFRA
,,neuroscience,,FYN
,,neuroscience,,CSF1R
,,neuroscience,,TNFRSF14
,,neuroscience,,TREM2
,,neuroscience,,HINT1
,,neuroscience,,STS
,,neuroscience,,PTAFR
,,neuroscience,,GRK3
,,neuroscience,,CHRNA4
,,neuroscience,,CCRL2
,,neuroscience,,CXCL14
,,neuroscience,,GAMT
,,neuroscience,,NUMBL
,,neuroscience,,SLC6A6
,,neuroscience,,GRM5
,,neuroscience,,GRM1
,,neuroscience,,GRM8
,,neuroscience,,GRM4
,,neuroscience,,HNRNPH1
,,neuroscience,,GRK6
0.25,clinical_trial_phase1,non_small_cell_lung_cancer_metastatic,,PARP2
0.38895581517294214,open_targets_literature,inflammatory_bowel_disease,,ABCB1
0.3428173589864352,open_targets_literature,non-small_cell_lung_carcinoma,,ABCB1
0.75,clinical_trial_phase3,coronary_artery_disease,,ABCB1
0.3198839876204026,open_targets_genetic_association,portal_hypertension,,ABCB1
0.75,clinical_trial_phase3,percutaneous_coronary_intervention,,ABCB1
0.2643987582691336,open_targets_clinical,acute_myeloid_leukemia_by_fab_classification,,ABCB1
0.75,clinical_trial_phase3,acute_coronary_syndromes,,ABCB1
0.25981463784334535,open_targets_genetic_association,generalised_epilepsy,,ABCB1
0.75,clinical_trial_phase3,antiplatelet_therapy,,ABCB1
0.23961915200624131,open_targets_genetic_association,inflammatory_bowel_disease_13,,ABCB1
0.2212920161447346,open_targets_genetic_association,osteomyelitis,,ABCB1
0.21534123367970487,open_targets_genetic_association,hyperpituitarism,,ABCB1
0.25,clinical_trial_phase1,pharmacokinetics,,ABCB1
0.20774974454740897,open_targets_genetic_association,gallstones,,ABCB1
0.25,clinical_trial_phase1,drug_interactions,,ABCB1
0.19831508293108585,open_targets_genetic_association,cholelithiasis,,ABCB1
0.25,clinical_trial_phase1,pharmacodynamics,,ABCB1
0.16170432929216066,open_targets_genetic_association,schizophrenia,,ABCB1
0.25,clinical_trial_phase1,intestinal_transporter_expression,,ABCB1
0.1398495367968546,open_targets_literature,breast_cancer,,ABCB1
0.25,clinical_trial_phase1,pharmacokinetic_study_in_healthy_male_volunteers,,ABCB1
0.1252416576063223,open_targets_literature,ovarian_cancer,,ABCB1
0.0,clinical_trial_phase0,renal_transplantation,,ABCB1
0.11826555349910459,open_targets_genetic_association,hereditary_breast_and_ovarian_cancer_syndrome,,ABCB1
0.75,clinical_trial_phase3,covid-19_infection,,ABCB1
0.11826555349910459,open_targets_genetic_association,hereditary_breast_ovarian_cancer_syndrome,,ABCB1
0.75,clinical_trial_phase3,idiopathic_thrombocytopenic_purpura,,ABCB1
0.11755786524639206,open_targets_literature,neoplasm,,ABCB1
0.5,clinical_trial_phase2,epilepsy,,ABCB1
0.11722049354781174,open_targets_literature,cancer,,ABCB1
0.25,clinical_trial_phase1,covid-19,,ABCB1
0.1116811452294159,open_targets_literature,colorectal_carcinoma,,ABCB1
0.25,clinical_trial_phase1,healthy_volunteers,,ABCB1
0.11089299040311162,open_targets_literature,acute_myeloid_leukemia,,ABCB1
0.25,clinical_trial_phase1,"pulmonary_disease,_chronic_obstructive",,ABCB1
0.11023418458556426,open_targets_genetic_association,intrahepatic_cholestasis_of_pregnancy,,ABCB1
0.25,clinical_trial_phase1,covid19,,ABCB1
0.5790191950603032,open_targets_clinical,sinusitis,,ADRB2
0.25,clinical_trial_phase1,copd,,ABCB1
0.4434150842828103,open_targets_genetic_association,abnormality_of_limbs,,F5
0.5,clinical_trial_phase2,metastatic_melanoma,,ATM
0.25,clinical_trial_phase1,idh1_gene_mutation,,IDH1
0.25,clinical_trial_phase1,solid_tumors,,ATM
0.5,clinical_trial_phase2,ann_arbor_stage_iii_non-hodgkin_lymphoma,,BRCA2
0.5,clinical_trial_phase2,renal_carcinoma,,ATM
0.6838021049407265,clinical_trial_phase1,breast_cancer,,ATM
0.5,clinical_trial_phase2,renal_cell_carcinoma,,ATM
0.10075680772586312,open_targets_literature,adrenal_cortex_carcinoma,,ABCB1
0.5,clinical_trial_phase2,advanced_cancers,,ATM
0.5,clinical_trial_phase2,renal_cancer,,ATM
0.26617581579214894,open_targets_genetic_association,primary_biliary_cirrhosis,,ATXN2
0.7484470570389626,open_targets_genetic_association,dilated_cardiomyopathy_1o,,ABCC9
0.6525924374506288,open_targets_genetic_association,intellectual_disability_and_myopathy_syndrome,,ABCC9
0.6473101123203393,open_targets_genetic_association,"atrial_fibrillation,_familial,_12",,ABCC9
0.5535999152507447,open_targets_clinical,hypertension,,ABCC9
0.5243962870461512,open_targets_genetic_association,abnormality_of_the_skeletal_system,,ABCC9
