confidence_score,interaction_type,partner_in_mosaic,partner_symbol,source_db,target_id,updated_at
920,physical,False,CYP3A5,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
907,physical,False,IGKV2D-29,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
886,physical,False,CYP3A4,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
883,physical,False,SLCO1B1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
858,physical,False,CYP2C19,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
844,physical,False,SLCO1B3,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
842,physical,False,NR1I2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
812,physical,False,ABCF2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
812,physical,False,ABCF2-2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
809,physical,False,PPIG,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
800,physical,False,STAT3,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
779,physical,False,CYP2D6,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
775,physical,False,MRPS7,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
760,physical,False,MVP,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
742,physical,False,CYP2C9,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
741,physical,False,CYP2B6,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
723,physical,False,SLC22A1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
722,physical,False,CYP2C8,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
713,physical,False,SLCO1A2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
706,physical,False,UGT1A6,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
705,physical,False,P2RY12,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
703,physical,False,UGT1A4,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
683,physical,False,UGT1A1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
683,physical,False,UGT1A7,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
682,physical,False,UGT1A8,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
679,physical,False,SLCO2B1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
679,physical,False,UGT1A10,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
676,physical,False,CYP1A2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
674,physical,False,GSTM1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
674,physical,True,BCL2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
671,physical,False,UGT2B7,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
666,physical,False,ABCB4,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
664,physical,False,PON1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
662,physical,True,BCL2L1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
654,physical,False,SLC22A8,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
