pathway_id,role,target_id
R-HSA-382556,participant,ABCB1
R-HSA-2161517,participant,ABCB1
R-HSA-9757110,participant,ABCB1
R-HSA-9754706,participant,ABCB1
R-HSA-5578775,participant,ABCC9
R-HSA-382556,participant,ABCC9
R-HSA-1296025,participant,ABCC9
R-HSA-5693565,participant,ABL1
R-HSA-2022377,participant,ACE
R-HSA-9694614,participant,ACE2
R-HSA-9678110,participant,ACE2
R-HSA-1483191,participant,ACHE
R-HSA-112311,participant,ACHE
R-HSA-9609690,participant,ACTIN-LIKE
R-HSA-9833482,participant,ACTIN-LIKE
R-HSA-190861,participant,ACTIN-LIKE
R-HSA-9646399,participant,ACTIN-LIKE
R-HSA-9609736,participant,ACTIN-LIKE
R-HSA-437239,participant,ACTIN-LIKE
R-HSA-8955332,participant,ACTIN-LIKE
R-HSA-8852276,participant,ACTIN-LIKE
R-HSA-380320,participant,ACTIN-LIKE
R-HSA-9648025,participant,ACTIN-LIKE
R-HSA-68877,participant,ACTIN-LIKE
R-HSA-9668328,participant,ACTIN-LIKE
R-HSA-9619483,participant,ACTIN-LIKE
R-HSA-5663220,participant,ACTIN-LIKE
R-HSA-190840,participant,ACTIN-LIKE
R-HSA-5626467,participant,ACTIN-LIKE
R-HSA-983189,participant,ACTIN-LIKE
R-HSA-1445148,participant,ACTIN-LIKE
R-HSA-2500257,participant,ACTIN-LIKE
R-HSA-2467813,participant,ACTIN-LIKE
R-HSA-6807878,participant,ACTIN-LIKE
R-HSA-3371497,participant,ACTIN-LIKE
R-HSA-2132295,participant,ACTIN-LIKE
R-HSA-6811436,participant,ACTIN-LIKE
R-HSA-6811434,participant,ACTIN-LIKE
R-HSA-5620920,participant,ACTIN-LIKE
R-HSA-177929,participant,ADAM17
R-HSA-2122948,participant,ADAM17
R-HSA-2660826,participant,ADAM17
R-HSA-2894862,participant,ADAM17
R-HSA-2644606,participant,ADAM17
R-HSA-2691232,participant,ADAM17
R-HSA-75893,participant,ADAM17
R-HSA-1251985,participant,ADAM17
R-HSA-5362798,participant,ADAM17
R-HSA-982772,participant,ADAM17
R-HSA-1442490,participant,ADAM17
R-HSA-381340,participant,ADIPOQ
R-HSA-163680,participant,ADIPOQ
R-HSA-9841922,participant,ADIPOQ
R-HSA-418594,participant,ADORA1
R-HSA-417973,participant,ADORA1
R-HSA-418555,participant,ADORA2A
R-HSA-5683826,participant,ADORA2A
R-HSA-417973,participant,ADORA2A
R-HSA-416482,participant,ADRA1A
R-HSA-390696,participant,ADRA1A
R-HSA-416476,participant,ADRA1A
R-HSA-418594,participant,ADRA2A
R-HSA-418597,participant,ADRA2A
R-HSA-392023,participant,ADRA2A
R-HSA-390696,participant,ADRA2A
R-HSA-5683826,participant,ADRA2A
R-HSA-400042,participant,ADRA2A
R-HSA-418555,participant,ADRB1
R-HSA-390696,participant,ADRB1
R-HSA-418555,participant,ADRB2
R-HSA-390696,participant,ADRB2
R-HSA-2022377,participant,AGT
R-HSA-1989781,participant,AGT
R-HSA-375276,participant,AGTR1
R-HSA-416476,participant,AGTR1
R-HSA-8856828,participant,AGTR1
R-HSA-8856825,participant,AGTR1
R-HSA-418594,participant,AGTR2
R-HSA-375276,participant,AGTR2
R-HSA-5652227,participant,AKR1B1
R-HSA-70370,participant,AKR1B1
R-HSA-196108,participant,AKR1B1
R-HSA-5218920,participant,AKT1
R-HSA-389357,participant,AKT1
R-HSA-1257604,participant,AKT1
R-HSA-199418,participant,AKT1
R-HSA-392451,participant,AKT1
R-HSA-9856532,participant,AKT1
R-HSA-9856530,participant,AKT1
R-HSA-5218920,participant,AKT2
R-HSA-389357,participant,AKT2
R-HSA-1257604,participant,AKT2
R-HSA-199418,participant,AKT2
R-HSA-392451,participant,AKT2
R-HSA-5218920,participant,AKT3
R-HSA-389357,participant,AKT3
R-HSA-1257604,participant,AKT3
R-HSA-199418,participant,AKT3
R-HSA-392451,participant,AKT3
R-HSA-916853,participant,ALDH5A1
R-HSA-70171,participant,ALDOA
R-HSA-70263,participant,ALDOA
R-HSA-201556,participant,ALK
R-HSA-9851151,participant,ALK
R-HSA-2142696,participant,ALOX12
R-HSA-2142712,participant,ALOX12
R-HSA-9025106,participant,ALOX12
R-HSA-9026290,participant,ALOX12
R-HSA-9018677,participant,ALOX12
R-HSA-2142700,participant,ALOX12
R-HSA-6785807,participant,ALOX5
R-HSA-9012546,participant,ALOX5
R-HSA-9018896,participant,ALOX5
R-HSA-9023661,participant,ALOX5
R-HSA-9026286,participant,ALOX5
R-HSA-9026403,participant,ALOX5
R-HSA-9026290,participant,ALOX5
R-HSA-9020265,participant,ALOX5
R-HSA-9018682,participant,ALOX5
R-HSA-9018676,participant,ALOX5
R-HSA-9027604,participant,ALOX5
R-HSA-2142691,participant,ALOX5
R-HSA-8963889,participant,ANGPTL3
R-HSA-9029558,participant,ANGPTL3
R-HSA-8957275,participant,APOA1
R-HSA-381426,participant,APOA1
R-HSA-432142,participant,APOB
R-HSA-9707616,participant,APOB
R-HSA-3000471,participant,APOB
R-HSA-202733,participant,APOB
R-HSA-8864260,participant,APOE
R-HSA-8964026,participant,APOE
R-HSA-9029569,participant,APOE
R-HSA-8940973,participant,AR
R-HSA-3371497,participant,AR
R-HSA-383280,participant,AR
R-HSA-4090294,participant,AR
R-HSA-5689880,participant,AR
R-HSA-5693548,participant,ATM
R-HSA-2173795,participant,PARP1
R-HSA-192814,participant,PARP1
R-HSA-3108214,participant,PARP1
R-HSA-5696394,participant,PARP2
R-HSA-163560,participant,PATATIN-LI
R-HSA-8957275,participant,PCSK9
R-HSA-381426,participant,PCSK9
R-HSA-9931295,participant,PDCD1
R-HSA-389948,participant,PDCD1
R-HSA-9679191,participant,PDCD1
R-HSA-186797,participant,PDGFRA
R-HSA-186797,participant,PDGFRB
R-HSA-216083,participant,PECAM1
R-HSA-202733,participant,PECAM1
R-HSA-9856530,participant,PECAM1
R-HSA-9843970,participant,PERIPHILIN
R-HSA-9940951,participant,PHD FINGER
R-HSA-9842663,participant,PIK3CA
R-HSA-9673767,participant,PIK3CA
R-HSA-9673770,participant,PIK3CA
R-HSA-6811558,participant,PIK3CA
R-HSA-2219530,participant,PIK3CA
R-HSA-5655332,participant,PIK3CA
R-HSA-5655253,participant,PIK3CA
R-HSA-9927354,participant,PIK3CA
R-HSA-114604,participant,PIK3CA
R-HSA-912526,participant,PIK3CA
R-HSA-512988,participant,PIK3CA
R-HSA-8964041,participant,APOB
R-HSA-8964038,participant,APOB
R-HSA-1251985,participant,APOE
R-HSA-8963888,participant,APOE
R-HSA-8964058,participant,APOE
R-HSA-975634,participant,APOE
R-HSA-8963901,participant,APOE
R-HSA-381426,participant,APP
R-HSA-5674135,participant,ARAF
R-HSA-6796648,participant,ATM
R-HSA-912446,participant,ATM
R-HSA-3371453,participant,ATM
R-HSA-77387,participant,ATPASE FAM
R-HSA-917977,participant,ATPASE FAM
R-HSA-5685939,participant,PARP1
R-HSA-5696394,participant,PARP1
R-HSA-110362,participant,PARP1
R-HSA-5685939,participant,PARP2
R-HSA-110362,participant,PARP2
R-HSA-9768727,participant,PCSK7
R-HSA-9842640,participant,PIK3CA
R-HSA-2424491,participant,PIK3CA
R-HSA-112399,participant,PIK3CA
R-HSA-5673001,participant,PIK3CA
R-HSA-202424,participant,PIK3CA
R-HSA-186763,participant,PIK3CA
R-HSA-9607240,participant,PIK3CA
R-HSA-9703465,participant,PIK3CA
R-HSA-9856530,participant,PIK3CA
R-HSA-389357,participant,PIK3CA
R-HSA-1433557,participant,PIK3CA
R-HSA-416476,participant,PIK3CA
R-HSA-8853659,participant,PIK3CA
R-HSA-9670439,participant,PIK3CA
