chembl_id,created_at,disease_association_count,disease_associations,druggability_tier,entrez_id,function_description,gene_names,go_terms,homology_human_pct,id,name,protein_family,protein_length,safety_flags,selectivity_group,subcellular_location,symbol,target_class,tissue_expression,uniprot_id,updated_at,validation_level
CHEMBL2041,2026-04-17 03:31:13.775799+00:00,,,,,,,,,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,,,,,,RET,Receptor tyrosine kinase,,P07949,2026-04-17 03:31:13.775799+00:00,
CHEMBL2189121,2026-04-17 03:31:13.775799+00:00,,,,,,,,,KRAS,GTPase KRas,,,,,,KRAS,GTPase,,P01116,2026-04-17 03:31:13.775799+00:00,
CHEMBL4898,2026-04-17 03:31:13.775799+00:00,,,,,,,,,NTRK2,BDNF/NT-3 growth factors receptor,,,,,,NTRK2,Receptor tyrosine kinase,,Q16620,2026-04-17 03:31:13.775799+00:00,
CHEMBL5608,2026-04-17 03:31:13.775799+00:00,,,,,,,,,NTRK3,NT-3 growth factor receptor,,,,,,NTRK3,Receptor tyrosine kinase,,Q16288,2026-04-17 03:31:13.775799+00:00,
CHEMBL5838,2026-04-17 03:31:13.775799+00:00,,,,,,,,,ERBB3,Receptor tyrosine-protein kinase erbB-3,,,,,,ERBB3,Receptor tyrosine kinase,,P21860,2026-04-17 03:31:13.775799+00:00,
CHEMBL3650,2026-04-17 03:31:13.775799+00:00,,,,,,,,,FGFR1,Fibroblast growth factor receptor 1,,,,,,FGFR1,Receptor tyrosine kinase,,P11362,2026-04-17 03:31:13.775799+00:00,
CHEMBL4142,2026-04-17 03:31:13.775799+00:00,,,,,,,,,FGFR2,Fibroblast growth factor receptor 2,,,,,,FGFR2,Receptor tyrosine kinase,,P21802,2026-04-17 03:31:13.775799+00:00,
CHEMBL1936,2026-04-17 03:31:13.775799+00:00,,,,,,,,,KIT,Mast/stem cell growth factor receptor Kit,,,,,,KIT,Receptor tyrosine kinase,,P10721,2026-04-17 03:31:13.775799+00:00,
CHEMBL1913,2026-04-17 03:31:13.775799+00:00,,,,,,,,,PDGFRB,Platelet-derived growth factor receptor beta,,,,,,PDGFRB,Receptor tyrosine kinase,,P09619,2026-04-17 03:31:13.775799+00:00,
CHEMBL5034,2026-04-17 03:32:12.154155+00:00,,,,,,,,,GCH1,GTP cyclohydrolase 1,,,,,,GCH1,Enzyme,,O75899,2026-04-17 03:32:12.154155+00:00,
CHEMBL224,2026-04-17 03:32:12.154155+00:00,,,,,,,,,GRM5,Metabotropic glutamate receptor 5,,,,,,GRM5,GPCR,,P41594,2026-05-09 07:54:33.047219+00:00,
CHEMBL1075319,2026-04-17 03:32:12.154155+00:00,,,,,,,,,TRPC6,Transient receptor potential cation channel subfamily C member 6,,,,,,TRPC6,Ion channel,,Q7Z2W7,2026-04-17 03:32:12.154155+00:00,
CHEMBL1843,2026-04-17 03:32:12.154155+00:00,,,,,,,,,DDC,Aromatic-L-amino-acid decarboxylase,,,,,,DDC,Enzyme,,P20711,2026-04-17 03:32:12.154155+00:00,
CHEMBL4630,2026-04-17 03:31:13.775799+00:00,,,,,,,,,CHEK1,Serine/threonine-protein kinase Chk1,,,,,,CHEK1,Kinase,,O14757,2026-04-17 03:31:13.775799+00:00,
CHEMBL2815,2026-04-17 03:31:13.775799+00:00,,,,,,,,,NTRK1,High affinity nerve growth factor receptor,,,,,,NTRK1,Receptor tyrosine kinase,,P04629,2026-04-17 03:31:13.775799+00:00,
CHEMBL2007,2026-04-17 03:31:13.775799+00:00,,,,,,,,,PDGFRA,Platelet-derived growth factor receptor alpha,,,,,,PDGFRA,Receptor tyrosine kinase,,P16234,2026-04-17 03:31:13.775799+00:00,
CHEMBL1841,2026-04-17 03:37:13.006169+00:00,,,,,,,,,FYN,Tyrosine-protein kinase Fyn,,,,,,FYN,Kinase,,P06241,2026-04-17 03:37:13.006169+00:00,
CHEMBL3338,2026-04-17 03:32:12.154155+00:00,,,,,,,,,FDFT1,FDFT1,,,,,,FDFT1,,,P37268,2026-04-17 03:32:12.154155+00:00,
CHEMBL2414,2026-04-17 03:32:12.154155+00:00,,,,,,,,,CCRL2,C-C chemokine receptor-like 2,,,,,,CCRL2,GPCR,,P51679,2026-04-17 03:32:12.154155+00:00,
CHEMBL4607,2026-04-17 03:32:12.154155+00:00,,,,,,,,,AGTR2,AGTR2,,,,,,AGTR2,,,P50052,2026-04-17 03:32:12.154155+00:00,
CHEMBL213,2026-04-17 03:32:12.154155+00:00,,,,,,,,,ADRB1,Beta-1 adrenergic receptor,,,,,,ADRB1,GPCR,,P08588,2026-04-17 03:32:12.154155+00:00,
CHEMBL229,2026-04-17 03:32:12.154155+00:00,,,,,,,,,ADRA1A,ADRA1A,,,,,,ADRA1A,,,P35348,2026-04-17 03:32:12.154155+00:00,
CHEMBL252,2026-04-17 03:32:12.154155+00:00,,,,,,,,,EDNRA,Endothelin receptor type A,,,,,,EDNRA,GPCR,,P25101,2026-04-17 03:32:12.154155+00:00,
