alntmscore,evalue,lddt,neighbor_id,rmsd,target_id,tm_score
0.6871,1.457e-57,0.5895,ABCC9,9.396,ABCB1,0.6735
0.6682,5.798e-50,0.5793,CFTR,14.92,ABCB1,0.6519
0.07913,0.7812,0.2297,CACNA1D,43.53,ABCB1,0.06915
0.3646,0.9331,0.2675,NTPCR,12.63,ABCB1,0.06755
0.07813,3.536,0.2428,CACNA1C,45.81,ABCB1,0.06681
0.1506,6.299,0.2694,GIPR,25.15,ABCB1,0.06479
0.1098,3.236,0.2101,DYRK1A,25.4,ABCB1,0.06323
0.1519,0.5984,0.3069,HTR2A,34.2,ABCB1,0.06228
0.2122,2.709,0.2426,OLA1,16.03,ABCB1,0.06161
0.1357,0.501,0.2731,FES,44.69,ABCB1,0.06092
0.1559,8.219,0.2544,SLC6A3,29.84,ABCB1,0.059
0.1405,6.883,0.2452,ADORA2A,24.24,ABCB1,0.05881
0.07477,2.832,0.2482,MTOR,42.05,ABCB1,0.05646
0.168,2.961,0.2793,CNR2,21.37,ABCB1,0.05561
0.1092,6.025,0.2467,ADRA1A,33.44,ABCB1,0.0541
0.1848,5.274,0.2545,PSEN2,27.3,ABCB1,0.053
0.1975,1.218,0.2227,KRAS,17.85,ABCB1,0.05271
0.1308,4.224,0.2934,NPY2R,34.46,ABCB1,0.05271
0.1781,7.195,0.2388,YWHAB,21.59,ABCB1,0.0526
0.1182,1.59,0.2843,CNR1,31.08,ABCB1,0.05215
0.7835,8.945e-26,0.817,DRD1,9.804,ADRB2,0.7616
0.7358,1.738e-32,0.871,ADRB1,22.01,ADRB2,0.734
0.8348,3.709e-19,0.8035,HTR1A,8.086,ADRB2,0.694
0.8471,3.027e-14,0.7454,HRH1,8.181,ADRB2,0.6766
0.7113,2.478e-18,0.7524,HTR2A,13.94,ADRB2,0.6687
0.7997,2.088e-21,0.7915,PTGIR,16.59,ADRB2,0.6675
0.8195,3.121e-19,0.7543,GNB5,8.341,ADRB2,0.6652
0.7903,7.284e-15,0.7519,CHRM3,15.0,ADRB2,0.6563
0.779,1.278e-17,0.7504,HRH3,7.168,ADRB2,0.649
0.7025,7.95e-18,0.7311,ADORA2A,13.63,ADRB2,0.6455
0.7924,6.129e-15,0.7622,CHRM2,9.705,ADRB2,0.6403
0.8159,6.399e-15,0.735,ADORA1,8.091,ADRB2,0.6362
0.7733,2.902e-17,0.7431,DRD2,9.746,ADRB2,0.6331
0.7309,2.116e-19,0.755,ADRA1A,12.36,ADRB2,0.631
0.7587,2.513e-16,0.7525,ADRA2A,9.716,ADRB2,0.6302
0.74,6.488e-13,0.6959,NPY1R,11.96,ADRB2,0.6229
0.7594,7.494e-14,0.7061,NPY2R,7.32,ADRB2,0.608
0.7485,1.606e-12,0.6973,CNR2,12.57,ADRB2,0.6001
0.7607,2.621e-13,0.6972,ORL1,10.74,ADRB2,0.5986
0.7117,4.209e-10,0.6612,BDKRB2,8.978,ADRB2,0.5897
0.2258,4.758e-25,0.4263,FLT1,57.25,ALK,0.1731
0.2485,1.352e-29,0.4376,ROS1,43.27,ALK,0.1724
0.3124,1.364e-23,0.4357,INSR,41.29,ALK,0.1722
0.2106,6.746e-26,0.4181,FLT4,54.21,ALK,0.1722
0.2073,4.751e-26,0.4032,KDR,56.73,ALK,0.1688
0.7631,7.479e-24,0.7228,FGFR3,22.59,ALK,0.1685
0.2832,3.356e-24,0.4434,CSF1R,35.73,ALK,0.1676
0.4206,7.092e-26,0.6707,ERBB2,43.65,ALK,0.1664
0.7363,1.117e-23,0.717,FGFR2,19.12,ALK,0.165
0.7483,9.124e-25,0.7165,FGFR4,19.67,ALK,0.1649
0.3118,2.746e-24,0.4679,AXL,43.14,ALK,0.1649
0.2562,4.088e-26,0.4205,RET,41.5,ALK,0.1648
0.6168,1.366e-22,0.6058,NTRK3,27.05,ALK,0.1647
0.2854,5.555e-22,0.4083,FLT3,40.61,ALK,0.1647
0.6038,1.513e-21,0.5949,NTRK1,22.72,ALK,0.1641
0.7292,7.135e-22,0.6818,FGFR1,21.16,ALK,0.1638
0.4417,2.363e-24,0.6542,EGFR,37.28,ALK,0.1632
0.5068,4.772e-23,0.6857,ABL1,38.6,ALK,0.1627
0.3115,2.374e-21,0.4005,MET,41.49,ALK,0.1623
0.2688,6.797e-21,0.4023,KIT,40.52,ALK,0.1619
0.4818,4.002e-71,0.8141,ARAF,36.02,BRAF,0.3825
0.4533,4.533e-73,0.8137,RAF1,40.59,BRAF,0.3802
0.7891,2.32e-17,0.6722,RIPK2,22.78,BRAF,0.3321
0.8652,2.817e-21,0.6873,LCK,3.301,BRAF,0.3235
0.6136,2.273e-18,0.653,AXL,30.11,BRAF,0.3175
0.7174,6.502e-18,0.6434,MOS,12.81,BRAF,0.317
0.8486,3.715e-21,0.6768,FYN,4.216,BRAF,0.3145
0.7102,4.292e-14,0.657,ERBB2,8.435,BRAF,0.3113
0.365,5.664e-22,0.5329,FGFR4,34.38,BRAF,0.3099
0.8692,5.903e-20,0.6837,SRC,2.927,BRAF,0.3089
0.7305,3.687e-16,0.6383,ROS1,16.66,BRAF,0.3089
0.6974,8.752e-17,0.6562,FLT1,16.45,BRAF,0.3086
0.6185,2.977e-21,0.6512,RET,22.34,BRAF,0.3081
0.6971,6.969e-20,0.6403,CSF1R,17.6,BRAF,0.3071
0.3854,5.285e-20,0.562,MET,40.12,BRAF,0.3068
0.6889,8.281e-17,0.6342,FLT4,17.63,BRAF,0.3064
0.6373,6.411e-16,0.6417,KDR,18.77,BRAF,0.306
0.5511,1.938e-15,0.6348,WNK2,42.06,BRAF,0.3056
0.5751,2.064e-20,0.6476,FGFR1,23.49,BRAF,0.3045
0.5697,1.46e-18,0.6276,NTRK2,24.9,BRAF,0.3045
0.5634,1.44e-12,0.5661,NECTIN4,6.726,CD274,0.4384
0.486,1.513e-13,0.5797,PDGFRB,15.05,CD274,0.4226
0.4702,2.25e-08,0.455,FLT4,10.66,CD274,0.3618
0.3717,1.252e-07,0.5971,HAVCR2,44.83,CD274,0.3198
0.4356,7.322e-08,0.5135,LAG3,10.43,CD274,0.3179
0.6716,6.26e-07,0.5915,TIGIT,8.878,CD274,0.3093
0.365,4.025e-10,0.518,PDGFRA,14.38,CD274,0.3077
0.4286,3.143e-05,0.4314,AXL,9.877,CD274,0.3062
0.7125,3.302e-06,0.5603,PDCD1,3.747,CD274,0.2995
0.4142,9.496e-10,0.5019,NTRK2,10.36,CD274,0.2913
0.3403,9.575e-08,0.4856,CSF1R,18.34,CD274,0.2892
0.3365,6.208e-09,0.526,KIT,16.44,CD274,0.2827
0.3222,5.884e-09,0.4596,FGFR3,16.07,CD274,0.2779
0.3265,7.662e-10,0.5183,FGFR4,14.93,CD274,0.2769
0.316,1.465e-08,0.5167,NTRK3,20.61,CD274,0.2764
0.5734,0.000333,0.4796,CTLA4,7.064,CD274,0.2696
