hotspot_residues,license,mean_score,n_variants,pct_pathogenic,source,target_id,uniprot_id,updated_at
"[{""residue"":240,""mean_score"":0.9999,""n_substitutions"":19},{""residue"":259,""mean_score"":0.9999,""n_substitutions"":19},{""residue"":222,""mean_score"":0.9999,""n_substitutions"":19},{""residue"":107,""mean_score"":0.9999,""n_substitutions"":19},{""residue"":227,""mean_score"":0.9998,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.6817381731591142,8189,0.6465990963487606,AlphaMissense,SGK1,O00141,2026-05-26 11:25:37.824922+00:00
"[{""residue"":106,""mean_score"":0.9997,""n_substitutions"":19},{""residue"":369,""mean_score"":0.9996,""n_substitutions"":19},{""residue"":384,""mean_score"":0.9996,""n_substitutions"":19},{""residue"":64,""mean_score"":0.9994,""n_substitutions"":19},{""residue"":104,""mean_score"":0.9994,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.6960559413401387,17252,0.6715743102249014,AlphaMissense,GRM8,O00222,2026-05-26 11:25:37.824922+00:00
"[{""residue"":157,""mean_score"":0.9976,""n_substitutions"":19},{""residue"":161,""mean_score"":0.9961,""n_substitutions"":19},{""residue"":125,""mean_score"":0.9937,""n_substitutions"":19},{""residue"":294,""mean_score"":0.9934,""n_substitutions"":19},{""residue"":120,""mean_score"":0.9931,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.6012366515173728,6821,0.5525582759126227,AlphaMissense,SCD,O00767,2026-05-26 11:25:37.824922+00:00
"[{""residue"":83,""mean_score"":0.9993,""n_substitutions"":19},{""residue"":79,""mean_score"":0.9988,""n_substitutions"":19},{""residue"":99,""mean_score"":0.9985,""n_substitutions"":19},{""residue"":108,""mean_score"":0.9983,""n_substitutions"":19},{""residue"":89,""mean_score"":0.9979,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.7203299771167063,2185,0.6919908466819222,AlphaMissense,CDK2AP1,O14519,2026-05-26 11:25:37.824922+00:00
"[{""residue"":435,""mean_score"":0.9998,""n_substitutions"":19},{""residue"":444,""mean_score"":0.9998,""n_substitutions"":19},{""residue"":438,""mean_score"":0.9998,""n_substitutions"":19},{""residue"":367,""mean_score"":0.9996,""n_substitutions"":19},{""residue"":365,""mean_score"":0.9995,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.7018652730727915,12103,0.6735520118978766,AlphaMissense,PRMT5,O14744,2026-05-26 11:25:37.824922+00:00
"[{""residue"":148,""mean_score"":0.9998,""n_substitutions"":19},{""residue"":130,""mean_score"":0.9997,""n_substitutions"":19},{""residue"":135,""mean_score"":0.9997,""n_substitutions"":19},{""residue"":18,""mean_score"":0.9996,""n_substitutions"":19},{""residue"":16,""mean_score"":0.9995,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.6348011499336563,9044,0.5807164971251658,AlphaMissense,CHEK1,O14757,2026-05-26 11:25:37.824922+00:00
"[{""residue"":166,""mean_score"":0.9999,""n_substitutions"":19},{""residue"":150,""mean_score"":0.9999,""n_substitutions"":19},{""residue"":145,""mean_score"":0.9998,""n_substitutions"":19},{""residue"":204,""mean_score"":0.9998,""n_substitutions"":19},{""residue"":24,""mean_score"":0.9997,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.5844502227791676,14364,0.5256892230576441,AlphaMissense,IKBKB,O14920,2026-05-26 11:25:37.824922+00:00
"[{""residue"":144,""mean_score"":0.9997,""n_substitutions"":19},{""residue"":165,""mean_score"":0.9997,""n_substitutions"":19},{""residue"":149,""mean_score"":0.9996,""n_substitutions"":19},{""residue"":203,""mean_score"":0.9995,""n_substitutions"":19},{""residue"":183,""mean_score"":0.9995,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.5969121087954775,14155,0.5428470505121865,AlphaMissense,CHUK,O15111,2026-05-26 11:25:37.824922+00:00
"[{""residue"":367,""mean_score"":0.9987,""n_substitutions"":19},{""residue"":518,""mean_score"":0.9987,""n_substitutions"":19},{""residue"":244,""mean_score"":0.9981,""n_substitutions"":19},{""residue"":522,""mean_score"":0.9981,""n_substitutions"":19},{""residue"":537,""mean_score"":0.9978,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.6175185020704542,16663,0.573906259377063,AlphaMissense,GRM4,O15303,2026-05-26 11:25:37.824922+00:00
"[{""residue"":164,""mean_score"":0.9994,""n_substitutions"":19},{""residue"":151,""mean_score"":0.9993,""n_substitutions"":19},{""residue"":146,""mean_score"":0.9992,""n_substitutions"":19},{""residue"":211,""mean_score"":0.9989,""n_substitutions"":19},{""residue"":66,""mean_score"":0.9979,""n_substitutions"":19}]",CC-BY-NC-SA-4.0,0.5157257212475619,10260,0.4530214424951267,AlphaMissense,RIPK2,O43353,2026-05-26 11:25:37.824922+00:00
